Order ID,Item ID,Quantity,Workcenter ID,Setup Time (min),Run Time (min),Total Time (min),Delivery Date
SO-0003,INV-PLTE-FG-0258,4,WC-014,23.0,564.0,587.0,2025-12-19
SO-0003,INV-PLTE-FG-0258,4,WC-001,12.0,1056.0,1068.0,2025-12-19
SO-0003,INV-PLTE-FG-0258,4,WC-013,19.0,1320.0,1339.0,2025-12-19
SO-0003,INV-PLTE-FG-0258,4,WC-003,17.0,564.0,581.0,2025-12-19
SO-0003,INV-PLTE-FG-0258,4,WC-009,58.0,640.0,698.0,2025-12-19
SO-0003,INV-PLTE-FG-0258,4,WC-018,17.0,604.0,621.0,2025-12-19
SO-0003,INV-PLTE-FG-0258,4,WC-030,0.0,100.0,100.0,2025-12-19
SO-0004,INV-PLTE-FG-0200,4,WC-013,10.0,844.0,854.0,2025-12-22
SO-0004,INV-PLTE-FG-0200,4,WC-003,10.0,984.0,994.0,2025-12-22
SO-0004,INV-PLTE-FG-0200,4,WC-015,15.0,828.0,843.0,2025-12-22
SO-0004,INV-PLTE-FG-0200,4,WC-002,17.0,504.0,521.0,2025-12-22
SO-0004,INV-PLTE-FG-0200,4,WC-013,14.0,996.0,1010.0,2025-12-22
SO-0004,INV-PLTE-FG-0200,4,WC-003,15.0,1132.0,1147.0,2025-12-22
SO-0004,INV-PLTE-FG-0200,4,WC-015,27.0,624.0,651.0,2025-12-22
SO-0004,INV-PLTE-FG-0200,4,WC-006,12.0,1216.0,1228.0,2025-12-22
SO-0004,INV-PLTE-FG-0200,4,WC-012,39.0,460.0,499.0,2025-12-22
SO-0004,INV-PLTE-FG-0200,4,WC-017,26.0,756.0,782.0,2025-12-22
SO-0004,INV-PLTE-FG-0200,4,WC-031,0.0,100.0,100.0,2025-12-22
SO-0005,INV-BEAM-FG-0117,2,WC-013,27.0,632.0,659.0,2025-09-18
SO-0005,INV-BEAM-FG-0117,2,WC-001,29.0,288.0,317.0,2025-09-18
SO-0005,INV-BEAM-FG-0117,2,WC-016,10.0,450.0,460.0,2025-09-18
SO-0005,INV-BEAM-FG-0117,2,WC-003,26.0,274.0,300.0,2025-09-18
SO-0005,INV-BEAM-FG-0117,2,WC-013,18.0,658.0,676.0,2025-09-18
SO-0005,INV-BEAM-FG-0117,2,WC-006,29.0,244.0,273.0,2025-09-18
SO-0005,INV-BEAM-FG-0117,2,WC-013,26.0,380.0,406.0,2025-09-18
SO-0005,INV-BEAM-FG-0117,2,WC-002,25.0,378.0,403.0,2025-09-18
SO-0005,INV-BEAM-FG-0117,2,WC-010,57.0,258.0,315.0,2025-09-18
SO-0005,INV-BEAM-FG-0117,2,WC-017,18.0,382.0,400.0,2025-09-18
SO-0005,INV-BEAM-FG-0117,2,WC-020,0.0,40.0,40.0,2025-09-18
SO-0006,INV-PLTE-FG-0244,1,WC-015,24.0,189.0,213.0,2025-03-09
SO-0006,INV-PLTE-FG-0244,1,WC-002,14.0,251.0,265.0,2025-03-09
SO-0006,INV-PLTE-FG-0244,1,WC-015,24.0,260.0,284.0,2025-03-09
SO-0006,INV-PLTE-FG-0244,1,WC-001,25.0,152.0,177.0,2025-03-09
SO-0006,INV-PLTE-FG-0244,1,WC-013,21.0,189.0,210.0,2025-03-09
SO-0006,INV-PLTE-FG-0244,1,WC-003,13.0,350.0,363.0,2025-03-09
SO-0006,INV-PLTE-FG-0244,1,WC-016,21.0,147.0,168.0,2025-03-09
SO-0006,INV-PLTE-FG-0244,1,WC-006,25.0,280.0,305.0,2025-03-09
SO-0006,INV-PLTE-FG-0244,1,WC-009,28.0,118.0,146.0,2025-03-09
SO-0006,INV-PLTE-FG-0244,1,WC-017,26.0,170.0,196.0,2025-03-09
SO-0006,INV-PLTE-FG-0244,1,WC-030,0.0,25.0,25.0,2025-03-09
SO-0007,INV-MODL-FG-0336,1,WC-015,16.0,227.0,243.0,2025-03-06
SO-0007,INV-MODL-FG-0336,1,WC-006,15.0,158.0,173.0,2025-03-06
SO-0007,INV-MODL-FG-0336,1,WC-015,26.0,223.0,249.0,2025-03-06
SO-0007,INV-MODL-FG-0336,1,WC-001,17.0,137.0,154.0,2025-03-06
SO-0007,INV-MODL-FG-0336,1,WC-015,28.0,195.0,223.0,2025-03-06
SO-0007,INV-MODL-FG-0336,1,WC-005,20.0,121.0,141.0,2025-03-06
SO-0007,INV-MODL-FG-0336,1,WC-012,73.0,229.0,302.0,2025-03-06
SO-0007,INV-MODL-FG-0336,1,WC-019,24.0,93.0,117.0,2025-03-06
SO-0007,INV-MODL-FG-0336,1,WC-023,0.0,40.0,40.0,2025-03-06
SO-0008,INV-STRC-FG-0072,4,WC-015,25.0,660.0,685.0,2025-12-02
SO-0008,INV-STRC-FG-0072,4,WC-003,12.0,676.0,688.0,2025-12-02
SO-0008,INV-STRC-FG-0072,4,WC-015,15.0,588.0,603.0,2025-12-02
SO-0008,INV-STRC-FG-0072,4,WC-003,28.0,744.0,772.0,2025-12-02
SO-0008,INV-STRC-FG-0072,4,WC-014,20.0,552.0,572.0,2025-12-02
SO-0008,INV-STRC-FG-0072,4,WC-006,27.0,1164.0,1191.0,2025-12-02
SO-0008,INV-STRC-FG-0072,4,WC-019,15.0,388.0,403.0,2025-12-02
SO-0008,INV-STRC-FG-0072,4,WC-021,0.0,120.0,120.0,2025-12-02
SO-0009,INV-PLTE-FG-0257,1,WC-015,18.0,164.0,182.0,2025-02-13
SO-0009,INV-PLTE-FG-0257,1,WC-005,22.0,230.0,252.0,2025-02-13
SO-0009,INV-PLTE-FG-0257,1,WC-013,11.0,313.0,324.0,2025-02-13
SO-0009,INV-PLTE-FG-0257,1,WC-001,17.0,268.0,285.0,2025-02-13
SO-0009,INV-PLTE-FG-0257,1,WC-017,23.0,74.0,97.0,2025-02-13
SO-0009,INV-PLTE-FG-0257,1,WC-022,0.0,25.0,25.0,2025-02-13
SO-0010,INV-BEAM-FG-0130,1,WC-016,29.0,211.0,240.0,2025-04-12
SO-0010,INV-BEAM-FG-0130,1,WC-003,29.0,222.0,251.0,2025-04-12
SO-0010,INV-BEAM-FG-0130,1,WC-015,17.0,203.0,220.0,2025-04-12
SO-0010,INV-BEAM-FG-0130,1,WC-004,11.0,136.0,147.0,2025-04-12
SO-0010,INV-BEAM-FG-0130,1,WC-016,25.0,191.0,216.0,2025-04-12
SO-0010,INV-BEAM-FG-0130,1,WC-004,25.0,132.0,157.0,2025-04-12
SO-0010,INV-BEAM-FG-0130,1,WC-013,20.0,230.0,250.0,2025-04-12
SO-0010,INV-BEAM-FG-0130,1,WC-005,24.0,160.0,184.0,2025-04-12
SO-0010,INV-BEAM-FG-0130,1,WC-019,25.0,139.0,164.0,2025-04-12
SO-0010,INV-BEAM-FG-0130,1,WC-023,0.0,20.0,20.0,2025-04-12
SO-0011,INV-STRC-FG-0060,1,WC-016,24.0,302.0,326.0,2025-12-13
SO-0011,INV-STRC-FG-0060,1,WC-002,10.0,132.0,142.0,2025-12-13
SO-0011,INV-STRC-FG-0060,1,WC-013,20.0,142.0,162.0,2025-12-13
SO-0011,INV-STRC-FG-0060,1,WC-001,13.0,291.0,304.0,2025-12-13
SO-0011,INV-STRC-FG-0060,1,WC-017,20.0,75.0,95.0,2025-12-13
SO-0011,INV-STRC-FG-0060,1,WC-031,0.0,30.0,30.0,2025-12-13
SO-0012,INV-STRC-FG-0071,1,WC-015,15.0,290.0,305.0,2025-05-22
SO-0012,INV-STRC-FG-0071,1,WC-004,11.0,219.0,230.0,2025-05-22
SO-0012,INV-STRC-FG-0071,1,WC-015,18.0,260.0,278.0,2025-05-22
SO-0012,INV-STRC-FG-0071,1,WC-001,28.0,157.0,185.0,2025-05-22
SO-0012,INV-STRC-FG-0071,1,WC-016,19.0,204.0,223.0,2025-05-22
SO-0012,INV-STRC-FG-0071,1,WC-001,16.0,233.0,249.0,2025-05-22
SO-0012,INV-STRC-FG-0071,1,WC-007,65.0,199.0,264.0,2025-05-22
SO-0012,INV-STRC-FG-0071,1,WC-018,28.0,163.0,191.0,2025-05-22
SO-0012,INV-STRC-FG-0071,1,WC-024,0.0,30.0,30.0,2025-05-22
SO-0013,INV-BEAM-FG-0174,1,WC-016,24.0,169.0,193.0,2025-09-25
SO-0013,INV-BEAM-FG-0174,1,WC-006,10.0,176.0,186.0,2025-09-25
SO-0013,INV-BEAM-FG-0174,1,WC-013,14.0,360.0,374.0,2025-09-25
SO-0013,INV-BEAM-FG-0174,1,WC-001,16.0,256.0,272.0,2025-09-25
SO-0013,INV-BEAM-FG-0174,1,WC-017,16.0,83.0,99.0,2025-09-25
SO-0013,INV-BEAM-FG-0174,1,WC-029,0.0,20.0,20.0,2025-09-25
SO-0014,INV-PLTE-FG-0205,2,WC-016,16.0,306.0,322.0,2025-02-21
SO-0014,INV-PLTE-FG-0205,2,WC-003,10.0,394.0,404.0,2025-02-21
SO-0014,INV-PLTE-FG-0205,2,WC-013,10.0,502.0,512.0,2025-02-21
SO-0014,INV-PLTE-FG-0205,2,WC-001,17.0,430.0,447.0,2025-02-21
SO-0014,INV-PLTE-FG-0205,2,WC-014,29.0,654.0,683.0,2025-02-21
SO-0014,INV-PLTE-FG-0205,2,WC-005,21.0,384.0,405.0,2025-02-21
SO-0014,INV-PLTE-FG-0205,2,WC-016,15.0,536.0,551.0,2025-02-21
SO-0014,INV-PLTE-FG-0205,2,WC-005,28.0,258.0,286.0,2025-02-21
SO-0014,INV-PLTE-FG-0205,2,WC-008,28.0,324.0,352.0,2025-02-21
SO-0014,INV-PLTE-FG-0205,2,WC-018,29.0,366.0,395.0,2025-02-21
SO-0014,INV-PLTE-FG-0205,2,WC-021,0.0,50.0,50.0,2025-02-21
SO-0015,INV-MODL-FG-0294,1,WC-015,15.0,350.0,365.0,2025-10-15
SO-0015,INV-MODL-FG-0294,1,WC-006,20.0,221.0,241.0,2025-10-15
SO-0015,INV-MODL-FG-0294,1,WC-014,27.0,177.0,204.0,2025-10-15
SO-0015,INV-MODL-FG-0294,1,WC-005,26.0,133.0,159.0,2025-10-15
SO-0015,INV-MODL-FG-0294,1,WC-013,17.0,321.0,338.0,2025-10-15
SO-0015,INV-MODL-FG-0294,1,WC-003,20.0,295.0,315.0,2025-10-15
SO-0015,INV-MODL-FG-0294,1,WC-016,21.0,259.0,280.0,2025-10-15
SO-0015,INV-MODL-FG-0294,1,WC-003,29.0,335.0,364.0,2025-10-15
SO-0015,INV-MODL-FG-0294,1,WC-010,28.0,184.0,212.0,2025-10-15
SO-0015,INV-MODL-FG-0294,1,WC-018,16.0,159.0,175.0,2025-10-15
SO-0015,INV-MODL-FG-0294,1,WC-027,0.0,40.0,40.0,2025-10-15
SO-0016,INV-BEAM-FG-0181,1,WC-015,14.0,225.0,239.0,2025-01-20
SO-0016,INV-BEAM-FG-0181,1,WC-006,16.0,189.0,205.0,2025-01-20
SO-0016,INV-BEAM-FG-0181,1,WC-013,10.0,129.0,139.0,2025-01-20
SO-0016,INV-BEAM-FG-0181,1,WC-005,22.0,204.0,226.0,2025-01-20
SO-0016,INV-BEAM-FG-0181,1,WC-014,30.0,212.0,242.0,2025-01-20
SO-0016,INV-BEAM-FG-0181,1,WC-003,26.0,339.0,365.0,2025-01-20
SO-0016,INV-BEAM-FG-0181,1,WC-012,58.0,91.0,149.0,2025-01-20
SO-0016,INV-BEAM-FG-0181,1,WC-019,19.0,115.0,134.0,2025-01-20
SO-0016,INV-BEAM-FG-0181,1,WC-030,0.0,20.0,20.0,2025-01-20
SO-0017,INV-MODL-FG-0282,1,WC-015,10.0,127.0,137.0,2025-06-11
SO-0017,INV-MODL-FG-0282,1,WC-005,11.0,283.0,294.0,2025-06-11
SO-0017,INV-MODL-FG-0282,1,WC-013,14.0,143.0,157.0,2025-06-11
SO-0017,INV-MODL-FG-0282,1,WC-005,15.0,319.0,334.0,2025-06-11
SO-0017,INV-MODL-FG-0282,1,WC-013,30.0,277.0,307.0,2025-06-11
SO-0017,INV-MODL-FG-0282,1,WC-001,10.0,248.0,258.0,2025-06-11
SO-0017,INV-MODL-FG-0282,1,WC-018,16.0,165.0,181.0,2025-06-11
SO-0017,INV-MODL-FG-0282,1,WC-032,0.0,40.0,40.0,2025-06-11
SO-0018,INV-BEAM-FG-0120,1,WC-013,16.0,316.0,332.0,2025-03-18
SO-0018,INV-BEAM-FG-0120,1,WC-006,22.0,267.0,289.0,2025-03-18
SO-0018,INV-BEAM-FG-0120,1,WC-014,30.0,192.0,222.0,2025-03-18
SO-0018,INV-BEAM-FG-0120,1,WC-002,12.0,224.0,236.0,2025-03-18
SO-0018,INV-BEAM-FG-0120,1,WC-019,20.0,106.0,126.0,2025-03-18
SO-0018,INV-BEAM-FG-0120,1,WC-020,0.0,20.0,20.0,2025-03-18
SO-0019,INV-BEAM-FG-0091,1,WC-015,28.0,211.0,239.0,2025-02-04
SO-0019,INV-BEAM-FG-0091,1,WC-002,14.0,297.0,311.0,2025-02-04
SO-0019,INV-BEAM-FG-0091,1,WC-016,25.0,287.0,312.0,2025-02-04
SO-0019,INV-BEAM-FG-0091,1,WC-001,24.0,219.0,243.0,2025-02-04
SO-0019,INV-BEAM-FG-0091,1,WC-017,29.0,121.0,150.0,2025-02-04
SO-0019,INV-BEAM-FG-0091,1,WC-020,0.0,20.0,20.0,2025-02-04
SO-0020,INV-BEAM-FG-0167,1,WC-013,24.0,298.0,322.0,2025-05-18
SO-0020,INV-BEAM-FG-0167,1,WC-005,24.0,211.0,235.0,2025-05-18
SO-0020,INV-BEAM-FG-0167,1,WC-016,17.0,157.0,174.0,2025-05-18
SO-0020,INV-BEAM-FG-0167,1,WC-006,25.0,176.0,201.0,2025-05-18
SO-0020,INV-BEAM-FG-0167,1,WC-013,25.0,344.0,369.0,2025-05-18
SO-0020,INV-BEAM-FG-0167,1,WC-001,19.0,163.0,182.0,2025-05-18
SO-0020,INV-BEAM-FG-0167,1,WC-014,24.0,230.0,254.0,2025-05-18
SO-0020,INV-BEAM-FG-0167,1,WC-002,19.0,161.0,180.0,2025-05-18
SO-0020,INV-BEAM-FG-0167,1,WC-010,40.0,144.0,184.0,2025-05-18
SO-0020,INV-BEAM-FG-0167,1,WC-018,27.0,145.0,172.0,2025-05-18
SO-0020,INV-BEAM-FG-0167,1,WC-022,0.0,20.0,20.0,2025-05-18
SO-0021,INV-PLTE-FG-0219,1,WC-015,28.0,272.0,300.0,2025-06-25
SO-0021,INV-PLTE-FG-0219,1,WC-001,13.0,315.0,328.0,2025-06-25
SO-0021,INV-PLTE-FG-0219,1,WC-013,26.0,133.0,159.0,2025-06-25
SO-0021,INV-PLTE-FG-0219,1,WC-003,27.0,254.0,281.0,2025-06-25
SO-0021,INV-PLTE-FG-0219,1,WC-016,12.0,197.0,209.0,2025-06-25
SO-0021,INV-PLTE-FG-0219,1,WC-005,28.0,172.0,200.0,2025-06-25
SO-0021,INV-PLTE-FG-0219,1,WC-012,70.0,113.0,183.0,2025-06-25
SO-0021,INV-PLTE-FG-0219,1,WC-019,15.0,108.0,123.0,2025-06-25
SO-0021,INV-PLTE-FG-0219,1,WC-028,0.0,25.0,25.0,2025-06-25
SO-0022,INV-STRC-FG-0007,1,WC-014,18.0,166.0,184.0,2025-09-04
SO-0022,INV-STRC-FG-0007,1,WC-002,22.0,163.0,185.0,2025-09-04
SO-0022,INV-STRC-FG-0007,1,WC-013,12.0,257.0,269.0,2025-09-04
SO-0022,INV-STRC-FG-0007,1,WC-003,20.0,301.0,321.0,2025-09-04
SO-0022,INV-STRC-FG-0007,1,WC-015,25.0,326.0,351.0,2025-09-04
SO-0022,INV-STRC-FG-0007,1,WC-003,22.0,197.0,219.0,2025-09-04
SO-0022,INV-STRC-FG-0007,1,WC-017,15.0,108.0,123.0,2025-09-04
SO-0022,INV-STRC-FG-0007,1,WC-028,0.0,30.0,30.0,2025-09-04
SO-0023,INV-STRC-FG-0064,2,WC-014,29.0,260.0,289.0,2025-01-21
SO-0023,INV-STRC-FG-0064,2,WC-004,15.0,380.0,395.0,2025-01-21
SO-0023,INV-STRC-FG-0064,2,WC-013,11.0,596.0,607.0,2025-01-21
SO-0023,INV-STRC-FG-0064,2,WC-002,20.0,540.0,560.0,2025-01-21
SO-0023,INV-STRC-FG-0064,2,WC-013,11.0,580.0,591.0,2025-01-21
SO-0023,INV-STRC-FG-0064,2,WC-003,16.0,496.0,512.0,2025-01-21
SO-0023,INV-STRC-FG-0064,2,WC-013,30.0,320.0,350.0,2025-01-21
SO-0023,INV-STRC-FG-0064,2,WC-004,27.0,526.0,553.0,2025-01-21
SO-0023,INV-STRC-FG-0064,2,WC-018,16.0,318.0,334.0,2025-01-21
SO-0023,INV-STRC-FG-0064,2,WC-021,0.0,60.0,60.0,2025-01-21
SO-0024,INV-STRC-FG-0044,1,WC-015,12.0,276.0,288.0,2025-03-05
SO-0024,INV-STRC-FG-0044,1,WC-002,12.0,197.0,209.0,2025-03-05
SO-0024,INV-STRC-FG-0044,1,WC-016,16.0,219.0,235.0,2025-03-05
SO-0024,INV-STRC-FG-0044,1,WC-002,15.0,145.0,160.0,2025-03-05
SO-0024,INV-STRC-FG-0044,1,WC-011,53.0,182.0,235.0,2025-03-05
SO-0024,INV-STRC-FG-0044,1,WC-017,30.0,60.0,90.0,2025-03-05
SO-0024,INV-STRC-FG-0044,1,WC-022,0.0,30.0,30.0,2025-03-05
SO-0025,INV-BEAM-FG-0171,1,WC-013,12.0,347.0,359.0,2025-09-24
SO-0025,INV-BEAM-FG-0171,1,WC-004,22.0,327.0,349.0,2025-09-24
SO-0025,INV-BEAM-FG-0171,1,WC-013,16.0,249.0,265.0,2025-09-24
SO-0025,INV-BEAM-FG-0171,1,WC-002,18.0,203.0,221.0,2025-09-24
SO-0025,INV-BEAM-FG-0171,1,WC-013,18.0,301.0,319.0,2025-09-24
SO-0025,INV-BEAM-FG-0171,1,WC-004,26.0,232.0,258.0,2025-09-24
SO-0025,INV-BEAM-FG-0171,1,WC-017,26.0,149.0,175.0,2025-09-24
SO-0025,INV-BEAM-FG-0171,1,WC-026,0.0,20.0,20.0,2025-09-24
SO-0026,INV-BEAM-FG-0121,1,WC-016,28.0,121.0,149.0,2025-08-29
SO-0026,INV-BEAM-FG-0121,1,WC-006,28.0,295.0,323.0,2025-08-29
SO-0026,INV-BEAM-FG-0121,1,WC-013,11.0,184.0,195.0,2025-08-29
SO-0026,INV-BEAM-FG-0121,1,WC-001,14.0,263.0,277.0,2025-08-29
SO-0026,INV-BEAM-FG-0121,1,WC-016,21.0,331.0,352.0,2025-08-29
SO-0026,INV-BEAM-FG-0121,1,WC-001,15.0,168.0,183.0,2025-08-29
SO-0026,INV-BEAM-FG-0121,1,WC-016,30.0,246.0,276.0,2025-08-29
SO-0026,INV-BEAM-FG-0121,1,WC-006,22.0,183.0,205.0,2025-08-29
SO-0026,INV-BEAM-FG-0121,1,WC-008,39.0,224.0,263.0,2025-08-29
SO-0026,INV-BEAM-FG-0121,1,WC-018,28.0,172.0,200.0,2025-08-29
SO-0026,INV-BEAM-FG-0121,1,WC-024,0.0,20.0,20.0,2025-08-29
SO-0027,INV-MODL-FG-0297,1,WC-014,23.0,308.0,331.0,2025-06-30
SO-0027,INV-MODL-FG-0297,1,WC-006,23.0,135.0,158.0,2025-06-30
SO-0027,INV-MODL-FG-0297,1,WC-016,18.0,199.0,217.0,2025-06-30
SO-0027,INV-MODL-FG-0297,1,WC-006,10.0,162.0,172.0,2025-06-30
SO-0027,INV-MODL-FG-0297,1,WC-016,12.0,197.0,209.0,2025-06-30
SO-0027,INV-MODL-FG-0297,1,WC-003,25.0,152.0,177.0,2025-06-30
SO-0027,INV-MODL-FG-0297,1,WC-016,26.0,323.0,349.0,2025-06-30
SO-0027,INV-MODL-FG-0297,1,WC-003,11.0,191.0,202.0,2025-06-30
SO-0027,INV-MODL-FG-0297,1,WC-007,36.0,209.0,245.0,2025-06-30
SO-0027,INV-MODL-FG-0297,1,WC-019,22.0,138.0,160.0,2025-06-30
SO-0027,INV-MODL-FG-0297,1,WC-025,0.0,40.0,40.0,2025-06-30
SO-0028,INV-BEAM-FG-0117,1,WC-013,27.0,316.0,343.0,2025-09-14
SO-0028,INV-BEAM-FG-0117,1,WC-001,29.0,144.0,173.0,2025-09-14
SO-0028,INV-BEAM-FG-0117,1,WC-016,10.0,225.0,235.0,2025-09-14
SO-0028,INV-BEAM-FG-0117,1,WC-003,26.0,137.0,163.0,2025-09-14
SO-0028,INV-BEAM-FG-0117,1,WC-013,18.0,329.0,347.0,2025-09-14
SO-0028,INV-BEAM-FG-0117,1,WC-006,29.0,122.0,151.0,2025-09-14
SO-0028,INV-BEAM-FG-0117,1,WC-013,26.0,190.0,216.0,2025-09-14
SO-0028,INV-BEAM-FG-0117,1,WC-002,25.0,189.0,214.0,2025-09-14
SO-0028,INV-BEAM-FG-0117,1,WC-010,57.0,129.0,186.0,2025-09-14
SO-0028,INV-BEAM-FG-0117,1,WC-017,18.0,191.0,209.0,2025-09-14
SO-0028,INV-BEAM-FG-0117,1,WC-020,0.0,20.0,20.0,2025-09-14
SO-0029,INV-STRC-FG-0088,1,WC-016,14.0,282.0,296.0,2025-05-31
SO-0029,INV-STRC-FG-0088,1,WC-002,18.0,128.0,146.0,2025-05-31
SO-0029,INV-STRC-FG-0088,1,WC-015,24.0,248.0,272.0,2025-05-31
SO-0029,INV-STRC-FG-0088,1,WC-002,13.0,153.0,166.0,2025-05-31
SO-0029,INV-STRC-FG-0088,1,WC-014,10.0,219.0,229.0,2025-05-31
SO-0029,INV-STRC-FG-0088,1,WC-005,10.0,300.0,310.0,2025-05-31
SO-0029,INV-STRC-FG-0088,1,WC-012,47.0,164.0,211.0,2025-05-31
SO-0029,INV-STRC-FG-0088,1,WC-017,28.0,147.0,175.0,2025-05-31
SO-0029,INV-STRC-FG-0088,1,WC-031,0.0,30.0,30.0,2025-05-31
SO-0030,INV-PLTE-FG-0264,1,WC-014,12.0,245.0,257.0,2025-02-21
SO-0030,INV-PLTE-FG-0264,1,WC-002,17.0,232.0,249.0,2025-02-21
SO-0030,INV-PLTE-FG-0264,1,WC-013,19.0,243.0,262.0,2025-02-21
SO-0030,INV-PLTE-FG-0264,1,WC-003,25.0,237.0,262.0,2025-02-21
SO-0030,INV-PLTE-FG-0264,1,WC-017,22.0,91.0,113.0,2025-02-21
SO-0030,INV-PLTE-FG-0264,1,WC-022,0.0,25.0,25.0,2025-02-21
SO-0031,INV-PLTE-FG-0219,1,WC-015,28.0,272.0,300.0,2025-02-08
SO-0031,INV-PLTE-FG-0219,1,WC-001,13.0,315.0,328.0,2025-02-08
SO-0031,INV-PLTE-FG-0219,1,WC-013,26.0,133.0,159.0,2025-02-08
SO-0031,INV-PLTE-FG-0219,1,WC-003,27.0,254.0,281.0,2025-02-08
SO-0031,INV-PLTE-FG-0219,1,WC-016,12.0,197.0,209.0,2025-02-08
SO-0031,INV-PLTE-FG-0219,1,WC-005,28.0,172.0,200.0,2025-02-08
SO-0031,INV-PLTE-FG-0219,1,WC-012,70.0,113.0,183.0,2025-02-08
SO-0031,INV-PLTE-FG-0219,1,WC-019,15.0,108.0,123.0,2025-02-08
SO-0031,INV-PLTE-FG-0219,1,WC-028,0.0,25.0,25.0,2025-02-08
SO-0032,INV-STRC-FG-0075,1,WC-016,20.0,184.0,204.0,2025-08-26
SO-0032,INV-STRC-FG-0075,1,WC-003,14.0,326.0,340.0,2025-08-26
SO-0032,INV-STRC-FG-0075,1,WC-016,22.0,194.0,216.0,2025-08-26
SO-0032,INV-STRC-FG-0075,1,WC-002,12.0,215.0,227.0,2025-08-26
SO-0032,INV-STRC-FG-0075,1,WC-010,21.0,217.0,238.0,2025-08-26
SO-0032,INV-STRC-FG-0075,1,WC-017,27.0,74.0,101.0,2025-08-26
SO-0032,INV-STRC-FG-0075,1,WC-031,0.0,30.0,30.0,2025-08-26
SO-0033,INV-BEAM-FG-0149,1,WC-016,15.0,309.0,324.0,2025-03-05
SO-0033,INV-BEAM-FG-0149,1,WC-004,30.0,140.0,170.0,2025-03-05
SO-0033,INV-BEAM-FG-0149,1,WC-013,25.0,237.0,262.0,2025-03-05
SO-0033,INV-BEAM-FG-0149,1,WC-002,20.0,357.0,377.0,2025-03-05
SO-0033,INV-BEAM-FG-0149,1,WC-015,30.0,194.0,224.0,2025-03-05
SO-0033,INV-BEAM-FG-0149,1,WC-004,26.0,209.0,235.0,2025-03-05
SO-0033,INV-BEAM-FG-0149,1,WC-017,30.0,153.0,183.0,2025-03-05
SO-0033,INV-BEAM-FG-0149,1,WC-030,0.0,20.0,20.0,2025-03-05
SO-0034,INV-PLTE-FG-0242,1,WC-014,17.0,252.0,269.0,2025-05-27
SO-0034,INV-PLTE-FG-0242,1,WC-001,13.0,284.0,297.0,2025-05-27
SO-0034,INV-PLTE-FG-0242,1,WC-015,24.0,139.0,163.0,2025-05-27
SO-0034,INV-PLTE-FG-0242,1,WC-006,24.0,328.0,352.0,2025-05-27
SO-0034,INV-PLTE-FG-0242,1,WC-016,22.0,254.0,276.0,2025-05-27
SO-0034,INV-PLTE-FG-0242,1,WC-004,18.0,228.0,246.0,2025-05-27
SO-0034,INV-PLTE-FG-0242,1,WC-016,17.0,256.0,273.0,2025-05-27
SO-0034,INV-PLTE-FG-0242,1,WC-005,16.0,355.0,371.0,2025-05-27
SO-0034,INV-PLTE-FG-0242,1,WC-019,26.0,219.0,245.0,2025-05-27
SO-0034,INV-PLTE-FG-0242,1,WC-031,0.0,25.0,25.0,2025-05-27
SO-0035,INV-MODL-FG-0311,1,WC-014,11.0,193.0,204.0,2025-05-25
SO-0035,INV-MODL-FG-0311,1,WC-005,22.0,195.0,217.0,2025-05-25
