Item ID,Parent ID,Component ID,Level,Quantity
INV-PLTE-SFG-0860,INV-STRC-FG-0002,INV-RM-RM-0093,2,2
INV-PLTE-SFG-0860,INV-STRC-FG-0002,INV-RM-RM-0045,2,4
INV-PLTE-SFG-0860,INV-STRC-FG-0002,INV-RM-RM-0019,2,4
INV-STRC-FG-0002,,INV-RM-RM-0115,1,4
INV-STRC-FG-0002,,INV-RM-RM-0014,1,3
INV-STRC-FG-0002,,INV-RM-RM-0032,1,1
INV-STRC-FG-0003,,INV-STRC-FG-0003,0,1
INV-STRC-FG-0003,,INV-STRC-SFG-0219,1,3
INV-STRC-SFG-0219,INV-STRC-FG-0003,INV-RM-RM-0090,2,2
INV-STRC-SFG-0219,INV-STRC-FG-0003,INV-RM-RM-0028,2,3
INV-STRC-SFG-0219,INV-STRC-FG-0003,INV-RM-RM-0072,2,1
INV-STRC-SFG-0219,INV-STRC-FG-0003,INV-RM-RM-0021,2,1
INV-STRC-FG-0003,,INV-PLTE-SFG-0915,1,2
INV-PLTE-SFG-0915,INV-STRC-FG-0003,INV-RM-RM-0126,2,1
INV-PLTE-SFG-0915,INV-STRC-FG-0003,INV-RM-RM-0094,2,3
INV-PLTE-SFG-0915,INV-STRC-FG-0003,INV-RM-RM-0073,2,2
INV-PLTE-SFG-0915,INV-STRC-FG-0003,INV-RM-RM-0027,2,1
INV-STRC-FG-0003,,INV-PLTE-SFG-0827,1,1
INV-PLTE-SFG-0827,INV-STRC-FG-0003,INV-RM-RM-0042,2,2
INV-PLTE-SFG-0827,INV-STRC-FG-0003,INV-RM-RM-0098,2,1
INV-PLTE-SFG-0827,INV-STRC-FG-0003,INV-RM-RM-0060,2,4
INV-STRC-FG-0003,,INV-STRC-SFG-0296,1,1
INV-STRC-SFG-0296,INV-STRC-FG-0003,INV-RM-RM-0045,2,3
INV-STRC-SFG-0296,INV-STRC-FG-0003,INV-RM-RM-0064,2,4
INV-STRC-SFG-0296,INV-STRC-FG-0003,INV-RM-RM-0058,2,3
INV-STRC-FG-0003,,INV-MODL-SFG-1273,1,2
INV-MODL-SFG-1273,INV-STRC-FG-0003,INV-RM-RM-0108,2,2
INV-MODL-SFG-1273,INV-STRC-FG-0003,INV-RM-RM-0072,2,1
INV-MODL-SFG-1273,INV-STRC-FG-0003,INV-RM-RM-0057,2,1
INV-MODL-SFG-1273,INV-STRC-FG-0003,INV-RM-RM-0052,2,2
INV-STRC-FG-0003,,INV-RM-RM-0070,1,1
INV-STRC-FG-0003,,INV-RM-RM-0003,1,4
INV-STRC-FG-0004,,INV-STRC-FG-0004,0,1
INV-STRC-FG-0004,,INV-PLTE-SFG-1000,1,2
INV-PLTE-SFG-1000,INV-STRC-FG-0004,INV-RM-RM-0049,2,1
INV-PLTE-SFG-1000,INV-STRC-FG-0004,INV-RM-RM-0080,2,4
INV-PLTE-SFG-1000,INV-STRC-FG-0004,INV-RM-RM-0054,2,3
INV-PLTE-SFG-1000,INV-STRC-FG-0004,INV-RM-RM-0028,2,3
INV-PLTE-SFG-1000,INV-STRC-FG-0004,INV-RM-RM-0002,2,2
INV-STRC-FG-0004,,INV-STRC-SFG-0143,1,2
INV-STRC-SFG-0143,INV-STRC-FG-0004,INV-RM-RM-0057,2,3
INV-STRC-SFG-0143,INV-STRC-FG-0004,INV-RM-RM-0112,2,3
INV-STRC-SFG-0143,INV-STRC-FG-0004,INV-RM-RM-0005,2,2
INV-STRC-FG-0004,,INV-MODL-SFG-1414,1,2
INV-MODL-SFG-1414,INV-STRC-FG-0004,INV-RM-RM-0018,2,3
INV-MODL-SFG-1414,INV-STRC-FG-0004,INV-RM-RM-0051,2,1
INV-MODL-SFG-1414,INV-STRC-FG-0004,INV-RM-RM-0070,2,4
INV-STRC-FG-0004,,INV-BEAM-SFG-0710,1,3
INV-BEAM-SFG-0710,INV-STRC-FG-0004,INV-RM-RM-0016,2,1
INV-BEAM-SFG-0710,INV-STRC-FG-0004,INV-RM-RM-0034,2,3
INV-BEAM-SFG-0710,INV-STRC-FG-0004,INV-RM-RM-0064,2,2
INV-BEAM-SFG-0710,INV-STRC-FG-0004,INV-RM-RM-0118,2,1
INV-BEAM-SFG-0710,INV-STRC-FG-0004,INV-RM-RM-0104,2,1
INV-STRC-FG-0004,,INV-MODL-SFG-1292,1,2
INV-MODL-SFG-1292,INV-STRC-FG-0004,INV-RM-RM-0087,2,1
INV-MODL-SFG-1292,INV-STRC-FG-0004,INV-RM-RM-0071,2,4
INV-MODL-SFG-1292,INV-STRC-FG-0004,INV-RM-RM-0003,2,1
INV-STRC-FG-0004,,INV-RM-RM-0118,1,1
INV-STRC-FG-0004,,INV-RM-RM-0094,1,2
INV-STRC-FG-0004,,INV-RM-RM-0055,1,4
INV-STRC-FG-0005,,INV-STRC-FG-0005,0,1
INV-STRC-FG-0005,,INV-STRC-SFG-0175,1,3
INV-STRC-SFG-0175,INV-STRC-FG-0005,INV-RM-RM-0023,2,3
INV-STRC-SFG-0175,INV-STRC-FG-0005,INV-RM-RM-0121,2,2
INV-STRC-SFG-0175,INV-STRC-FG-0005,INV-RM-RM-0094,2,3
INV-STRC-FG-0005,,INV-PLTE-SFG-0960,1,3
INV-PLTE-SFG-0960,INV-STRC-FG-0005,INV-RM-RM-0084,2,3
INV-PLTE-SFG-0960,INV-STRC-FG-0005,INV-RM-RM-0056,2,1
INV-PLTE-SFG-0960,INV-STRC-FG-0005,INV-RM-RM-0092,2,3
INV-STRC-FG-0005,,INV-STRC-SFG-0301,1,4
INV-STRC-SFG-0301,INV-STRC-FG-0005,INV-RM-RM-0073,2,4
INV-STRC-SFG-0301,INV-STRC-FG-0005,INV-RM-RM-0075,2,2
INV-STRC-SFG-0301,INV-STRC-FG-0005,INV-RM-RM-0083,2,3
INV-STRC-SFG-0301,INV-STRC-FG-0005,INV-RM-RM-0017,2,3
INV-STRC-SFG-0301,INV-STRC-FG-0005,INV-RM-RM-0038,2,2
INV-STRC-SFG-0301,INV-STRC-FG-0005,INV-RM-RM-0036,2,3
INV-STRC-FG-0005,,INV-RM-RM-0039,1,4
INV-STRC-FG-0005,,INV-RM-RM-0054,1,4
INV-STRC-FG-0005,,INV-RM-RM-0048,1,1
INV-STRC-FG-0006,,INV-STRC-FG-0006,0,1
INV-STRC-FG-0006,,INV-PLTE-SFG-1065,1,3
INV-PLTE-SFG-1065,INV-STRC-FG-0006,INV-RM-RM-0103,2,4
INV-PLTE-SFG-1065,INV-STRC-FG-0006,INV-RM-RM-0044,2,1
INV-PLTE-SFG-1065,INV-STRC-FG-0006,INV-RM-RM-0054,2,1
INV-PLTE-SFG-1065,INV-STRC-FG-0006,INV-RM-RM-0024,2,2
INV-STRC-FG-0006,,INV-BEAM-SFG-0813,1,3
INV-BEAM-SFG-0813,INV-STRC-FG-0006,INV-RM-RM-0007,2,3
INV-BEAM-SFG-0813,INV-STRC-FG-0006,INV-RM-RM-0124,2,3
INV-BEAM-SFG-0813,INV-STRC-FG-0006,INV-RM-RM-0055,2,4
INV-BEAM-SFG-0813,INV-STRC-FG-0006,INV-RM-RM-0064,2,4
INV-BEAM-SFG-0813,INV-STRC-FG-0006,INV-RM-RM-0111,2,3
INV-BEAM-SFG-0813,INV-STRC-FG-0006,INV-RM-RM-0040,2,2
INV-STRC-FG-0006,,INV-MODL-SFG-1360,1,3
INV-MODL-SFG-1360,INV-STRC-FG-0006,INV-RM-RM-0051,2,4
INV-MODL-SFG-1360,INV-STRC-FG-0006,INV-RM-RM-0001,2,3
INV-MODL-SFG-1360,INV-STRC-FG-0006,INV-RM-RM-0024,2,3
INV-MODL-SFG-1360,INV-STRC-FG-0006,INV-RM-RM-0114,2,2
INV-MODL-SFG-1360,INV-STRC-FG-0006,INV-RM-RM-0056,2,3
INV-STRC-FG-0006,,INV-PLTE-SFG-0835,1,4
INV-PLTE-SFG-0835,INV-STRC-FG-0006,INV-RM-RM-0083,2,3
INV-PLTE-SFG-0835,INV-STRC-FG-0006,INV-RM-RM-0098,2,1
INV-PLTE-SFG-0835,INV-STRC-FG-0006,INV-RM-RM-0092,2,4
INV-PLTE-SFG-0835,INV-STRC-FG-0006,INV-RM-RM-0110,2,3
INV-PLTE-SFG-0835,INV-STRC-FG-0006,INV-RM-RM-0078,2,1
INV-STRC-FG-0006,,INV-PLTE-SFG-0932,1,1
INV-PLTE-SFG-0932,INV-STRC-FG-0006,INV-RM-RM-0125,2,2
INV-PLTE-SFG-0932,INV-STRC-FG-0006,INV-RM-RM-0114,2,2
INV-PLTE-SFG-0932,INV-STRC-FG-0006,INV-RM-RM-0048,2,4
INV-PLTE-SFG-0932,INV-STRC-FG-0006,INV-RM-RM-0072,2,1
INV-STRC-FG-0006,,INV-STRC-SFG-0138,1,2
INV-STRC-SFG-0138,INV-STRC-FG-0006,INV-RM-RM-0077,2,4
INV-STRC-SFG-0138,INV-STRC-FG-0006,INV-RM-RM-0063,2,4
INV-STRC-SFG-0138,INV-STRC-FG-0006,INV-RM-RM-0006,2,3
INV-STRC-FG-0006,,INV-RM-RM-0051,1,3
INV-STRC-FG-0006,,INV-RM-RM-0060,1,3
INV-STRC-FG-0006,,INV-RM-RM-0024,1,4
INV-STRC-FG-0006,,INV-RM-RM-0095,1,1
INV-STRC-FG-0007,,INV-STRC-FG-0007,0,1
INV-STRC-FG-0007,,INV-STRC-SFG-0167,1,3
INV-STRC-SFG-0167,INV-STRC-FG-0007,INV-RM-RM-0058,2,4
INV-STRC-SFG-0167,INV-STRC-FG-0007,INV-RM-RM-0021,2,2
INV-STRC-SFG-0167,INV-STRC-FG-0007,INV-RM-RM-0081,2,4
INV-STRC-FG-0007,,INV-MODL-SFG-1404,1,1
INV-MODL-SFG-1404,INV-STRC-FG-0007,INV-RM-RM-0077,2,1
INV-MODL-SFG-1404,INV-STRC-FG-0007,INV-RM-RM-0126,2,1
INV-MODL-SFG-1404,INV-STRC-FG-0007,INV-RM-RM-0031,2,1
INV-STRC-FG-0007,,INV-MODL-SFG-1326,1,1
INV-MODL-SFG-1326,INV-STRC-FG-0007,INV-RM-RM-0082,2,4
INV-MODL-SFG-1326,INV-STRC-FG-0007,INV-RM-RM-0053,2,3
INV-MODL-SFG-1326,INV-STRC-FG-0007,INV-RM-RM-0021,2,1
INV-MODL-SFG-1326,INV-STRC-FG-0007,INV-RM-RM-0042,2,2
INV-STRC-FG-0007,,INV-PLTE-SFG-1104,1,2
INV-PLTE-SFG-1104,INV-STRC-FG-0007,INV-RM-RM-0083,2,4
INV-PLTE-SFG-1104,INV-STRC-FG-0007,INV-RM-RM-0098,2,1
INV-PLTE-SFG-1104,INV-STRC-FG-0007,INV-RM-RM-0077,2,3
INV-STRC-FG-0007,,INV-PLTE-SFG-0949,1,2
INV-PLTE-SFG-0949,INV-STRC-FG-0007,INV-RM-RM-0021,2,1
INV-PLTE-SFG-0949,INV-STRC-FG-0007,INV-RM-RM-0086,2,3
INV-PLTE-SFG-0949,INV-STRC-FG-0007,INV-RM-RM-0002,2,4
INV-PLTE-SFG-0949,INV-STRC-FG-0007,INV-RM-RM-0125,2,1
INV-STRC-FG-0007,,INV-BEAM-SFG-0769,1,1
INV-BEAM-SFG-0769,INV-STRC-FG-0007,INV-RM-RM-0115,2,4
INV-BEAM-SFG-0769,INV-STRC-FG-0007,INV-RM-RM-0066,2,2
INV-BEAM-SFG-0769,INV-STRC-FG-0007,INV-RM-RM-0125,2,1
INV-STRC-FG-0007,,INV-RM-RM-0043,1,3
INV-STRC-FG-0007,,INV-RM-RM-0016,1,1
INV-STRC-FG-0007,,INV-RM-RM-0078,1,2
INV-STRC-FG-0007,,INV-RM-RM-0102,1,3
INV-STRC-FG-0008,,INV-STRC-FG-0008,0,1
INV-STRC-FG-0008,,INV-MODL-SFG-1347,1,3
INV-MODL-SFG-1347,INV-STRC-FG-0008,INV-RM-RM-0002,2,4
INV-MODL-SFG-1347,INV-STRC-FG-0008,INV-RM-RM-0107,2,3
INV-MODL-SFG-1347,INV-STRC-FG-0008,INV-RM-RM-0011,2,1
INV-MODL-SFG-1347,INV-STRC-FG-0008,INV-RM-RM-0074,2,1
INV-MODL-SFG-1347,INV-STRC-FG-0008,INV-RM-RM-0075,2,2
INV-STRC-FG-0008,,INV-BEAM-SFG-0733,1,1
INV-BEAM-SFG-0733,INV-STRC-FG-0008,INV-RM-RM-0120,2,2
INV-BEAM-SFG-0733,INV-STRC-FG-0008,INV-RM-RM-0083,2,4
INV-BEAM-SFG-0733,INV-STRC-FG-0008,INV-RM-RM-0041,2,2
INV-BEAM-SFG-0733,INV-STRC-FG-0008,INV-RM-RM-0099,2,4
INV-STRC-FG-0008,,INV-STRC-SFG-0302,1,4
INV-STRC-SFG-0302,INV-STRC-FG-0008,INV-RM-RM-0091,2,4
INV-STRC-SFG-0302,INV-STRC-FG-0008,INV-RM-RM-0075,2,1
INV-STRC-SFG-0302,INV-STRC-FG-0008,INV-RM-RM-0051,2,3
INV-STRC-SFG-0302,INV-STRC-FG-0008,INV-RM-RM-0030,2,1
INV-STRC-SFG-0302,INV-STRC-FG-0008,INV-RM-RM-0016,2,1
INV-STRC-SFG-0302,INV-STRC-FG-0008,INV-RM-RM-0111,2,2
INV-STRC-FG-0008,,INV-RM-RM-0096,1,2
INV-STRC-FG-0008,,INV-RM-RM-0003,1,1
INV-STRC-FG-0008,,INV-RM-RM-0098,1,2
INV-STRC-FG-0008,,INV-RM-RM-0125,1,2
INV-STRC-FG-0009,,INV-STRC-FG-0009,0,1
INV-STRC-FG-0009,,INV-MODL-SFG-1377,1,4
INV-MODL-SFG-1377,INV-STRC-FG-0009,INV-RM-RM-0125,2,3
INV-MODL-SFG-1377,INV-STRC-FG-0009,INV-RM-RM-0097,2,4
INV-MODL-SFG-1377,INV-STRC-FG-0009,INV-RM-RM-0026,2,2
INV-STRC-FG-0009,,INV-MODL-SFG-1474,1,4
INV-MODL-SFG-1474,INV-STRC-FG-0009,INV-RM-RM-0126,2,2
INV-MODL-SFG-1474,INV-STRC-FG-0009,INV-RM-RM-0032,2,3
INV-MODL-SFG-1474,INV-STRC-FG-0009,INV-RM-RM-0021,2,2
INV-MODL-SFG-1474,INV-STRC-FG-0009,INV-RM-RM-0115,2,4
INV-MODL-SFG-1474,INV-STRC-FG-0009,INV-RM-RM-0072,2,1
INV-MODL-SFG-1474,INV-STRC-FG-0009,INV-RM-RM-0095,2,4
INV-STRC-FG-0009,,INV-BEAM-SFG-0609,1,3
INV-BEAM-SFG-0609,INV-STRC-FG-0009,INV-RM-RM-0094,2,2
INV-BEAM-SFG-0609,INV-STRC-FG-0009,INV-RM-RM-0014,2,4
INV-BEAM-SFG-0609,INV-STRC-FG-0009,INV-RM-RM-0087,2,2
INV-BEAM-SFG-0609,INV-STRC-FG-0009,INV-RM-RM-0083,2,3
INV-STRC-FG-0009,,INV-RM-RM-0096,1,4
INV-STRC-FG-0009,,INV-RM-RM-0053,1,3
INV-STRC-FG-0009,,INV-RM-RM-0098,1,3
INV-STRC-FG-0010,,INV-STRC-FG-0010,0,1
INV-STRC-FG-0010,,INV-MODL-SFG-1188,1,1
INV-MODL-SFG-1188,INV-STRC-FG-0010,INV-RM-RM-0121,2,2
INV-MODL-SFG-1188,INV-STRC-FG-0010,INV-RM-RM-0052,2,4
INV-MODL-SFG-1188,INV-STRC-FG-0010,INV-RM-RM-0115,2,4
INV-MODL-SFG-1188,INV-STRC-FG-0010,INV-RM-RM-0091,2,4
INV-STRC-FG-0010,,INV-BEAM-SFG-0644,1,4
INV-BEAM-SFG-0644,INV-STRC-FG-0010,INV-RM-RM-0120,2,3
INV-BEAM-SFG-0644,INV-STRC-FG-0010,INV-RM-RM-0122,2,3
INV-BEAM-SFG-0644,INV-STRC-FG-0010,INV-RM-RM-0062,2,2
INV-STRC-FG-0010,,INV-BEAM-SFG-0575,1,4
INV-BEAM-SFG-0575,INV-STRC-FG-0010,INV-RM-RM-0071,2,2
INV-BEAM-SFG-0575,INV-STRC-FG-0010,INV-RM-RM-0042,2,4
INV-BEAM-SFG-0575,INV-STRC-FG-0010,INV-RM-RM-0124,2,4
INV-BEAM-SFG-0575,INV-STRC-FG-0010,INV-RM-RM-0099,2,3
INV-BEAM-SFG-0575,INV-STRC-FG-0010,INV-RM-RM-0038,2,2
INV-BEAM-SFG-0575,INV-STRC-FG-0010,INV-RM-RM-0022,2,2
INV-STRC-FG-0010,,INV-PLTE-SFG-1084,1,1
INV-PLTE-SFG-1084,INV-STRC-FG-0010,INV-RM-RM-0097,2,4
INV-PLTE-SFG-1084,INV-STRC-FG-0010,INV-RM-RM-0088,2,1
INV-PLTE-SFG-1084,INV-STRC-FG-0010,INV-RM-RM-0081,2,2
INV-PLTE-SFG-1084,INV-STRC-FG-0010,INV-RM-RM-0091,2,4
INV-PLTE-SFG-1084,INV-STRC-FG-0010,INV-RM-RM-0112,2,3
INV-STRC-FG-0010,,INV-RM-RM-0050,1,4
INV-STRC-FG-0010,,INV-RM-RM-0070,1,2
INV-STRC-FG-0010,,INV-RM-RM-0065,1,2
INV-STRC-FG-0011,,INV-STRC-FG-0011,0,1
INV-STRC-FG-0011,,INV-BEAM-SFG-0515,1,2
INV-BEAM-SFG-0515,INV-STRC-FG-0011,INV-RM-RM-0011,2,1
INV-BEAM-SFG-0515,INV-STRC-FG-0011,INV-RM-RM-0101,2,1
INV-BEAM-SFG-0515,INV-STRC-FG-0011,INV-RM-RM-0030,2,1
INV-STRC-FG-0011,,INV-STRC-SFG-0245,1,2
INV-STRC-SFG-0245,INV-STRC-FG-0011,INV-RM-RM-0072,2,1
INV-STRC-SFG-0245,INV-STRC-FG-0011,INV-RM-RM-0054,2,3
INV-STRC-SFG-0245,INV-STRC-FG-0011,INV-RM-RM-0040,2,3
INV-STRC-SFG-0245,INV-STRC-FG-0011,INV-RM-RM-0021,2,4
INV-STRC-SFG-0245,INV-STRC-FG-0011,INV-RM-RM-0053,2,4
INV-STRC-FG-0011,,INV-STRC-SFG-0130,1,2
INV-STRC-SFG-0130,INV-STRC-FG-0011,INV-RM-RM-0049,2,3
INV-STRC-SFG-0130,INV-STRC-FG-0011,INV-RM-RM-0063,2,3
INV-STRC-SFG-0130,INV-STRC-FG-0011,INV-RM-RM-0104,2,4
INV-STRC-SFG-0130,INV-STRC-FG-0011,INV-RM-RM-0110,2,1
INV-STRC-FG-0011,,INV-STRC-SFG-0213,1,2
INV-STRC-SFG-0213,INV-STRC-FG-0011,INV-RM-RM-0005,2,4
INV-STRC-SFG-0213,INV-STRC-FG-0011,INV-RM-RM-0111,2,1
INV-STRC-SFG-0213,INV-STRC-FG-0011,INV-RM-RM-0078,2,3
INV-STRC-SFG-0213,INV-STRC-FG-0011,INV-RM-RM-0041,2,3
INV-STRC-FG-0011,,INV-STRC-SFG-0002,1,2
INV-STRC-SFG-0002,INV-STRC-FG-0011,INV-RM-RM-0005,2,1
INV-STRC-SFG-0002,INV-STRC-FG-0011,INV-RM-RM-0037,2,2
INV-STRC-SFG-0002,INV-STRC-FG-0011,INV-RM-RM-0122,2,1
INV-STRC-SFG-0002,INV-STRC-FG-0011,INV-RM-RM-0056,2,4
INV-STRC-SFG-0002,INV-STRC-FG-0011,INV-RM-RM-0038,2,3
INV-STRC-FG-0011,,INV-RM-RM-0094,1,1
INV-STRC-FG-0011,,INV-RM-RM-0038,1,2
INV-STRC-FG-0012,,INV-STRC-FG-0012,0,1
INV-STRC-FG-0012,,INV-STRC-SFG-0033,1,1
INV-STRC-SFG-0033,INV-STRC-FG-0012,INV-RM-RM-0009,2,1
INV-STRC-SFG-0033,INV-STRC-FG-0012,INV-RM-RM-0074,2,3
INV-STRC-SFG-0033,INV-STRC-FG-0012,INV-RM-RM-0036,2,3
INV-STRC-SFG-0033,INV-STRC-FG-0012,INV-RM-RM-0002,2,2
INV-STRC-SFG-0033,INV-STRC-FG-0012,INV-RM-RM-0126,2,2
INV-STRC-SFG-0033,INV-STRC-FG-0012,INV-RM-RM-0096,2,2
INV-STRC-FG-0012,,INV-MODL-SFG-1304,1,1
INV-MODL-SFG-1304,INV-STRC-FG-0012,INV-RM-RM-0116,2,2
INV-MODL-SFG-1304,INV-STRC-FG-0012,INV-RM-RM-0123,2,3
INV-MODL-SFG-1304,INV-STRC-FG-0012,INV-RM-RM-0020,2,1
INV-MODL-SFG-1304,INV-STRC-FG-0012,INV-RM-RM-0109,2,3
INV-MODL-SFG-1304,INV-STRC-FG-0012,INV-RM-RM-0010,2,1
INV-STRC-FG-0012,,INV-MODL-SFG-1435,1,3
INV-MODL-SFG-1435,INV-STRC-FG-0012,INV-RM-RM-0123,2,2
INV-MODL-SFG-1435,INV-STRC-FG-0012,INV-RM-RM-0025,2,3
INV-MODL-SFG-1435,INV-STRC-FG-0012,INV-RM-RM-0096,2,2
INV-MODL-SFG-1435,INV-STRC-FG-0012,INV-RM-RM-0125,2,3
INV-MODL-SFG-1435,INV-STRC-FG-0012,INV-RM-RM-0032,2,1
INV-MODL-SFG-1435,INV-STRC-FG-0012,INV-RM-RM-0121,2,2
INV-STRC-FG-0012,,INV-BEAM-SFG-0564,1,1
INV-BEAM-SFG-0564,INV-STRC-FG-0012,INV-RM-RM-0047,2,2
INV-BEAM-SFG-0564,INV-STRC-FG-0012,INV-RM-RM-0001,2,2
INV-BEAM-SFG-0564,INV-STRC-FG-0012,INV-RM-RM-0048,2,3
INV-BEAM-SFG-0564,INV-STRC-FG-0012,INV-RM-RM-0092,2,2
INV-STRC-FG-0012,,INV-MODL-SFG-1227,1,2
INV-MODL-SFG-1227,INV-STRC-FG-0012,INV-RM-RM-0079,2,1
INV-MODL-SFG-1227,INV-STRC-FG-0012,INV-RM-RM-0110,2,1
INV-MODL-SFG-1227,INV-STRC-FG-0012,INV-RM-RM-0077,2,3
INV-STRC-FG-0012,,INV-PLTE-SFG-1021,1,2
INV-PLTE-SFG-1021,INV-STRC-FG-0012,INV-RM-RM-0054,2,2
INV-PLTE-SFG-1021,INV-STRC-FG-0012,INV-RM-RM-0042,2,2
INV-PLTE-SFG-1021,INV-STRC-FG-0012,INV-RM-RM-0106,2,1
INV-PLTE-SFG-1021,INV-STRC-FG-0012,INV-RM-RM-0009,2,2
INV-STRC-FG-0012,,INV-RM-RM-0094,1,1
INV-STRC-FG-0012,,INV-RM-RM-0053,1,2
INV-STRC-FG-0012,,INV-RM-RM-0125,1,1
INV-STRC-FG-0012,,INV-RM-RM-0066,1,1
INV-STRC-FG-0013,,INV-STRC-FG-0013,0,1
INV-STRC-FG-0013,,INV-STRC-SFG-0158,1,3
INV-STRC-SFG-0158,INV-STRC-FG-0013,INV-RM-RM-0042,2,3
INV-STRC-SFG-0158,INV-STRC-FG-0013,INV-RM-RM-0026,2,2
INV-STRC-SFG-0158,INV-STRC-FG-0013,INV-RM-RM-0029,2,3
INV-STRC-SFG-0158,INV-STRC-FG-0013,INV-RM-RM-0020,2,2
INV-STRC-SFG-0158,INV-STRC-FG-0013,INV-RM-RM-0043,2,4
INV-STRC-SFG-0158,INV-STRC-FG-0013,INV-RM-RM-0030,2,4
INV-STRC-FG-0013,,INV-BEAM-SFG-0692,1,3
INV-BEAM-SFG-0692,INV-STRC-FG-0013,INV-RM-RM-0025,2,1
INV-BEAM-SFG-0692,INV-STRC-FG-0013,INV-RM-RM-0014,2,1
INV-BEAM-SFG-0692,INV-STRC-FG-0013,INV-RM-RM-0058,2,3
INV-STRC-FG-0013,,INV-MODL-SFG-1335,1,1
INV-MODL-SFG-1335,INV-STRC-FG-0013,INV-RM-RM-0084,2,2
INV-MODL-SFG-1335,INV-STRC-FG-0013,INV-RM-RM-0117,2,2
INV-MODL-SFG-1335,INV-STRC-FG-0013,INV-RM-RM-0014,2,2
INV-MODL-SFG-1335,INV-STRC-FG-0013,INV-RM-RM-0010,2,3
INV-MODL-SFG-1335,INV-STRC-FG-0013,INV-RM-RM-0126,2,3
INV-MODL-SFG-1335,INV-STRC-FG-0013,INV-RM-RM-0042,2,1
INV-STRC-FG-0013,,INV-MODL-SFG-1256,1,4
INV-MODL-SFG-1256,INV-STRC-FG-0013,INV-RM-RM-0025,2,3
INV-MODL-SFG-1256,INV-STRC-FG-0013,INV-RM-RM-0014,2,1
INV-MODL-SFG-1256,INV-STRC-FG-0013,INV-RM-RM-0094,2,4
INV-MODL-SFG-1256,INV-STRC-FG-0013,INV-RM-RM-0005,2,3
