BOM ID,Component ID,Quantity per Unit,Unit of Measure
INV-STRC-FG-0010,INV-RM-RM-0065,2,PCS
INV-STRC-FG-0011,INV-BEAM-SFG-0515,2,PCS
INV-STRC-FG-0011,INV-STRC-SFG-0245,2,PCS
INV-STRC-FG-0011,INV-STRC-SFG-0130,2,PCS
INV-STRC-FG-0011,INV-STRC-SFG-0213,2,PCS
INV-STRC-FG-0011,INV-STRC-SFG-0002,2,PCS
INV-STRC-FG-0011,INV-RM-RM-0094,1,PCS
INV-STRC-FG-0011,INV-RM-RM-0038,2,PCS
INV-STRC-FG-0012,INV-STRC-SFG-0033,1,PCS
INV-STRC-FG-0012,INV-MODL-SFG-1304,1,PCS
INV-STRC-FG-0012,INV-MODL-SFG-1435,3,PCS
INV-STRC-FG-0012,INV-BEAM-SFG-0564,1,PCS
INV-STRC-FG-0012,INV-MODL-SFG-1227,2,PCS
INV-STRC-FG-0012,INV-PLTE-SFG-1021,2,PCS
INV-STRC-FG-0012,INV-RM-RM-0094,1,PCS
INV-STRC-FG-0012,INV-RM-RM-0053,2,PCS
INV-STRC-FG-0012,INV-RM-RM-0125,1,PCS
INV-STRC-FG-0012,INV-RM-RM-0066,1,PCS
INV-STRC-FG-0013,INV-STRC-SFG-0158,3,PCS
INV-STRC-FG-0013,INV-BEAM-SFG-0692,3,PCS
INV-STRC-FG-0013,INV-MODL-SFG-1335,1,PCS
INV-STRC-FG-0013,INV-MODL-SFG-1256,4,PCS
INV-STRC-FG-0013,INV-BEAM-SFG-0545,4,PCS
INV-STRC-FG-0013,INV-RM-RM-0069,1,PCS
INV-STRC-FG-0013,INV-RM-RM-0083,3,PCS
INV-STRC-FG-0014,INV-BEAM-SFG-0713,1,PCS
INV-STRC-FG-0014,INV-MODL-SFG-1493,3,PCS
INV-STRC-FG-0014,INV-STRC-SFG-0118,1,PCS
INV-STRC-FG-0014,INV-STRC-SFG-0053,3,PCS
INV-STRC-FG-0014,INV-RM-RM-0038,1,PCS
INV-STRC-FG-0014,INV-RM-RM-0111,1,PCS
INV-STRC-FG-0015,INV-STRC-SFG-0251,2,PCS
INV-STRC-FG-0015,INV-MODL-SFG-1511,3,PCS
INV-STRC-FG-0015,INV-MODL-SFG-1386,4,PCS
INV-STRC-FG-0015,INV-PLTE-SFG-1011,4,PCS
INV-STRC-FG-0015,INV-RM-RM-0054,3,PCS
INV-STRC-FG-0015,INV-RM-RM-0092,2,PCS
INV-STRC-FG-0015,INV-RM-RM-0108,3,PCS
INV-STRC-FG-0016,INV-STRC-SFG-0030,3,PCS
INV-STRC-FG-0016,INV-MODL-SFG-1454,2,PCS
INV-STRC-FG-0016,INV-PLTE-SFG-1126,4,PCS
INV-STRC-FG-0016,INV-MODL-SFG-1284,1,PCS
INV-STRC-FG-0016,INV-RM-RM-0068,4,PCS
INV-STRC-FG-0016,INV-RM-RM-0016,4,PCS
INV-STRC-FG-0016,INV-RM-RM-0104,2,PCS
INV-STRC-FG-0017,INV-PLTE-SFG-0917,4,PCS
INV-STRC-FG-0017,INV-MODL-SFG-1251,1,PCS
INV-STRC-FG-0017,INV-BEAM-SFG-0443,2,PCS
INV-STRC-FG-0017,INV-RM-RM-0064,1,PCS
INV-STRC-FG-0017,INV-RM-RM-0056,1,PCS
INV-STRC-FG-0017,INV-RM-RM-0086,2,PCS
INV-STRC-FG-0017,INV-RM-RM-0052,2,PCS
INV-STRC-FG-0018,INV-STRC-SFG-0194,1,PCS
INV-STRC-FG-0018,INV-BEAM-SFG-0672,1,PCS
INV-STRC-FG-0018,INV-STRC-SFG-0009,3,PCS
INV-STRC-FG-0018,INV-RM-RM-0049,1,PCS
INV-STRC-FG-0018,INV-RM-RM-0119,2,PCS
INV-STRC-FG-0018,INV-RM-RM-0106,2,PCS
INV-STRC-FG-0018,INV-RM-RM-0013,3,PCS
INV-STRC-FG-0019,INV-MODL-SFG-1249,2,PCS
INV-STRC-FG-0019,INV-PLTE-SFG-1043,1,PCS
INV-STRC-FG-0019,INV-BEAM-SFG-0759,4,PCS
INV-STRC-FG-0019,INV-RM-RM-0013,4,PCS
INV-STRC-FG-0019,INV-RM-RM-0005,2,PCS
INV-STRC-FG-0020,INV-PLTE-SFG-1082,2,PCS
INV-STRC-FG-0020,INV-MODL-SFG-1487,3,PCS
INV-STRC-FG-0020,INV-MODL-SFG-1403,3,PCS
INV-STRC-FG-0020,INV-STRC-SFG-0077,2,PCS
INV-STRC-FG-0020,INV-PLTE-SFG-1014,2,PCS
INV-STRC-FG-0020,INV-RM-RM-0100,4,PCS
INV-STRC-FG-0020,INV-RM-RM-0032,2,PCS
INV-STRC-FG-0020,INV-RM-RM-0058,1,PCS
INV-STRC-FG-0021,INV-MODL-SFG-1343,1,PCS
INV-STRC-FG-0021,INV-PLTE-SFG-1114,3,PCS
INV-STRC-FG-0021,INV-PLTE-SFG-0834,3,PCS
INV-STRC-FG-0021,INV-PLTE-SFG-0866,2,PCS
INV-STRC-FG-0021,INV-RM-RM-0033,1,PCS
INV-STRC-FG-0021,INV-RM-RM-0068,2,PCS
INV-STRC-FG-0021,INV-RM-RM-0059,3,PCS
INV-STRC-FG-0022,INV-BEAM-SFG-0469,2,PCS
INV-STRC-FG-0022,INV-BEAM-SFG-0626,4,PCS
INV-STRC-FG-0022,INV-PLTE-SFG-0992,1,PCS
INV-STRC-FG-0022,INV-STRC-SFG-0264,4,PCS
INV-STRC-FG-0022,INV-STRC-SFG-0019,2,PCS
INV-STRC-FG-0022,INV-RM-RM-0074,3,PCS
INV-STRC-FG-0022,INV-RM-RM-0082,1,PCS
INV-STRC-FG-0022,INV-RM-RM-0040,3,PCS
INV-STRC-FG-0022,INV-RM-RM-0056,1,PCS
INV-STRC-FG-0023,INV-MODL-SFG-1442,4,PCS
INV-STRC-FG-0023,INV-PLTE-SFG-1047,2,PCS
INV-STRC-FG-0023,INV-PLTE-SFG-1149,1,PCS
INV-STRC-FG-0023,INV-STRC-SFG-0317,4,PCS
INV-STRC-FG-0023,INV-MODL-SFG-1394,3,PCS
INV-STRC-FG-0023,INV-STRC-SFG-0270,2,PCS
INV-STRC-FG-0023,INV-RM-RM-0049,3,PCS
INV-STRC-FG-0023,INV-RM-RM-0048,1,PCS
INV-STRC-FG-0024,INV-BEAM-SFG-0422,4,PCS
INV-STRC-FG-0024,INV-PLTE-SFG-1022,3,PCS
INV-STRC-FG-0024,INV-STRC-SFG-0074,4,PCS
INV-STRC-FG-0024,INV-BEAM-SFG-0707,4,PCS
INV-STRC-FG-0024,INV-MODL-SFG-1485,2,PCS
INV-STRC-FG-0024,INV-STRC-SFG-0317,1,PCS
INV-STRC-FG-0024,INV-RM-RM-0063,2,PCS
INV-STRC-FG-0024,INV-RM-RM-0011,2,PCS
INV-STRC-FG-0025,INV-PLTE-SFG-0966,1,PCS
INV-STRC-FG-0025,INV-MODL-SFG-1317,4,PCS
INV-STRC-FG-0025,INV-MODL-SFG-1426,4,PCS
INV-STRC-FG-0025,INV-MODL-SFG-1483,1,PCS
INV-STRC-FG-0025,INV-BEAM-SFG-0490,3,PCS
INV-STRC-FG-0025,INV-BEAM-SFG-0678,3,PCS
INV-STRC-FG-0025,INV-RM-RM-0061,1,PCS
INV-STRC-FG-0025,INV-RM-RM-0049,2,PCS
INV-STRC-FG-0025,INV-RM-RM-0100,2,PCS
INV-STRC-FG-0026,INV-PLTE-SFG-0911,4,PCS
INV-STRC-FG-0026,INV-MODL-SFG-1398,1,PCS
INV-STRC-FG-0026,INV-PLTE-SFG-0862,1,PCS
INV-STRC-FG-0026,INV-PLTE-SFG-1142,4,PCS
INV-STRC-FG-0026,INV-STRC-SFG-0269,1,PCS
INV-STRC-FG-0026,INV-STRC-SFG-0064,1,PCS
INV-STRC-FG-0026,INV-RM-RM-0016,3,PCS
INV-STRC-FG-0026,INV-RM-RM-0015,2,PCS
INV-STRC-FG-0026,INV-RM-RM-0118,1,PCS
INV-STRC-FG-0026,INV-RM-RM-0010,4,PCS
INV-STRC-FG-0027,INV-STRC-SFG-0349,2,PCS
INV-STRC-FG-0027,INV-PLTE-SFG-1150,1,PCS
INV-STRC-FG-0027,INV-BEAM-SFG-0513,2,PCS
INV-STRC-FG-0027,INV-BEAM-SFG-0761,3,PCS
INV-STRC-FG-0027,INV-STRC-SFG-0280,4,PCS
INV-STRC-FG-0027,INV-STRC-SFG-0304,1,PCS
INV-STRC-FG-0027,INV-RM-RM-0075,4,PCS
INV-STRC-FG-0027,INV-RM-RM-0024,1,PCS
INV-STRC-FG-0028,INV-BEAM-SFG-0650,4,PCS
INV-STRC-FG-0028,INV-STRC-SFG-0120,2,PCS
INV-STRC-FG-0028,INV-PLTE-SFG-1180,2,PCS
INV-STRC-FG-0028,INV-STRC-SFG-0352,3,PCS
INV-STRC-FG-0028,INV-RM-RM-0089,1,PCS
INV-STRC-FG-0028,INV-RM-RM-0053,4,PCS
INV-STRC-FG-0028,INV-RM-RM-0060,3,PCS
INV-STRC-FG-0028,INV-RM-RM-0014,3,PCS
INV-STRC-FG-0029,INV-BEAM-SFG-0700,1,PCS
INV-STRC-FG-0029,INV-STRC-SFG-0298,2,PCS
INV-STRC-FG-0029,INV-BEAM-SFG-0767,1,PCS
INV-STRC-FG-0029,INV-MODL-SFG-1389,3,PCS
INV-STRC-FG-0029,INV-BEAM-SFG-0624,2,PCS
INV-STRC-FG-0029,INV-RM-RM-0046,1,PCS
INV-STRC-FG-0029,INV-RM-RM-0123,4,PCS
INV-STRC-FG-0030,INV-MODL-SFG-1371,1,PCS
INV-STRC-FG-0030,INV-MODL-SFG-1295,2,PCS
INV-STRC-FG-0030,INV-MODL-SFG-1259,1,PCS
INV-STRC-FG-0030,INV-RM-RM-0010,4,PCS
INV-STRC-FG-0030,INV-RM-RM-0024,2,PCS
INV-STRC-FG-0031,INV-BEAM-SFG-0812,4,PCS
INV-STRC-FG-0031,INV-MODL-SFG-1215,3,PCS
INV-STRC-FG-0031,INV-MODL-SFG-1376,3,PCS
INV-STRC-FG-0031,INV-RM-RM-0119,4,PCS
INV-STRC-FG-0031,INV-RM-RM-0064,4,PCS
INV-STRC-FG-0031,INV-RM-RM-0060,1,PCS
INV-STRC-FG-0031,INV-RM-RM-0111,1,PCS
INV-STRC-FG-0032,INV-PLTE-SFG-0952,3,PCS
INV-STRC-FG-0032,INV-MODL-SFG-1224,3,PCS
INV-STRC-FG-0032,INV-BEAM-SFG-0610,2,PCS
INV-STRC-FG-0032,INV-RM-RM-0067,2,PCS
INV-STRC-FG-0032,INV-RM-RM-0009,2,PCS
INV-STRC-FG-0032,INV-RM-RM-0052,2,PCS
INV-STRC-FG-0032,INV-RM-RM-0087,2,PCS
INV-STRC-FG-0033,INV-STRC-SFG-0264,4,PCS
INV-STRC-FG-0033,INV-BEAM-SFG-0703,3,PCS
INV-STRC-FG-0033,INV-PLTE-SFG-1001,3,PCS
INV-STRC-FG-0033,INV-PLTE-SFG-1004,1,PCS
INV-STRC-FG-0033,INV-PLTE-SFG-0954,4,PCS
INV-STRC-FG-0033,INV-MODL-SFG-1295,4,PCS
INV-STRC-FG-0033,INV-RM-RM-0027,2,PCS
INV-STRC-FG-0033,INV-RM-RM-0035,3,PCS
INV-STRC-FG-0033,INV-RM-RM-0005,4,PCS
INV-STRC-FG-0033,INV-RM-RM-0100,2,PCS
INV-STRC-FG-0034,INV-PLTE-SFG-0824,1,PCS
INV-STRC-FG-0034,INV-PLTE-SFG-0920,2,PCS
INV-STRC-FG-0034,INV-BEAM-SFG-0563,4,PCS
INV-STRC-FG-0034,INV-BEAM-SFG-0718,2,PCS
INV-STRC-FG-0034,INV-RM-RM-0050,1,PCS
INV-STRC-FG-0034,INV-RM-RM-0034,2,PCS
INV-STRC-FG-0034,INV-RM-RM-0116,1,PCS
INV-STRC-FG-0035,INV-STRC-SFG-0035,2,PCS
INV-STRC-FG-0035,INV-PLTE-SFG-0826,2,PCS
INV-STRC-FG-0035,INV-PLTE-SFG-1165,2,PCS
INV-STRC-FG-0035,INV-STRC-SFG-0298,4,PCS
INV-STRC-FG-0035,INV-PLTE-SFG-0911,3,PCS
INV-STRC-FG-0035,INV-MODL-SFG-1194,2,PCS
INV-STRC-FG-0035,INV-RM-RM-0109,3,PCS
INV-STRC-FG-0035,INV-RM-RM-0096,3,PCS
INV-STRC-FG-0036,INV-PLTE-SFG-1067,3,PCS
INV-STRC-FG-0036,INV-PLTE-SFG-1000,3,PCS
INV-STRC-FG-0036,INV-BEAM-SFG-0622,3,PCS
INV-STRC-FG-0036,INV-RM-RM-0103,4,PCS
INV-STRC-FG-0036,INV-RM-RM-0105,3,PCS
INV-STRC-FG-0036,INV-RM-RM-0063,4,PCS
INV-STRC-FG-0036,INV-RM-RM-0054,3,PCS
INV-STRC-FG-0037,INV-BEAM-SFG-0408,2,PCS
INV-STRC-FG-0037,INV-MODL-SFG-1490,2,PCS
INV-STRC-FG-0037,INV-MODL-SFG-1403,4,PCS
INV-STRC-FG-0037,INV-PLTE-SFG-0826,1,PCS
INV-STRC-FG-0037,INV-RM-RM-0049,1,PCS
INV-STRC-FG-0037,INV-RM-RM-0126,1,PCS
INV-STRC-FG-0037,INV-RM-RM-0072,3,PCS
INV-STRC-FG-0037,INV-RM-RM-0078,4,PCS
INV-STRC-FG-0038,INV-PLTE-SFG-1130,3,PCS
INV-STRC-FG-0038,INV-PLTE-SFG-0906,2,PCS
INV-STRC-FG-0038,INV-MODL-SFG-1403,2,PCS
INV-STRC-FG-0038,INV-MODL-SFG-1391,1,PCS
INV-STRC-FG-0038,INV-STRC-SFG-0180,2,PCS
INV-STRC-FG-0038,INV-RM-RM-0037,3,PCS
INV-STRC-FG-0038,INV-RM-RM-0072,2,PCS
INV-STRC-FG-0038,INV-RM-RM-0042,4,PCS
INV-STRC-FG-0038,INV-RM-RM-0081,3,PCS
INV-STRC-FG-0039,INV-BEAM-SFG-0781,3,PCS
INV-STRC-FG-0039,INV-MODL-SFG-1411,2,PCS
INV-STRC-FG-0039,INV-BEAM-SFG-0565,1,PCS
INV-STRC-FG-0039,INV-STRC-SFG-0107,1,PCS
INV-STRC-FG-0039,INV-PLTE-SFG-1129,3,PCS
INV-STRC-FG-0039,INV-RM-RM-0058,3,PCS
INV-STRC-FG-0039,INV-RM-RM-0044,2,PCS
INV-STRC-FG-0039,INV-RM-RM-0093,3,PCS
INV-STRC-FG-0039,INV-RM-RM-0079,3,PCS
INV-STRC-FG-0040,INV-MODL-SFG-1478,2,PCS
INV-STRC-FG-0040,INV-MODL-SFG-1462,1,PCS
INV-STRC-FG-0040,INV-PLTE-SFG-1063,3,PCS
INV-STRC-FG-0040,INV-RM-RM-0121,4,PCS
INV-STRC-FG-0040,INV-RM-RM-0064,1,PCS
INV-STRC-FG-0040,INV-RM-RM-0080,3,PCS
INV-STRC-FG-0040,INV-RM-RM-0113,1,PCS
INV-STRC-FG-0041,INV-BEAM-SFG-0739,1,PCS
INV-STRC-FG-0041,INV-MODL-SFG-1245,4,PCS
INV-STRC-FG-0041,INV-PLTE-SFG-1028,3,PCS
INV-STRC-FG-0041,INV-RM-RM-0102,1,PCS
INV-STRC-FG-0041,INV-RM-RM-0075,2,PCS
INV-STRC-FG-0041,INV-RM-RM-0020,2,PCS
INV-STRC-FG-0041,INV-RM-RM-0061,3,PCS
INV-STRC-FG-0042,INV-PLTE-SFG-0969,4,PCS
INV-STRC-FG-0042,INV-BEAM-SFG-0681,2,PCS
INV-STRC-FG-0042,INV-PLTE-SFG-0949,3,PCS
INV-STRC-FG-0042,INV-RM-RM-0088,1,PCS
INV-STRC-FG-0042,INV-RM-RM-0039,2,PCS
INV-STRC-FG-0042,INV-RM-RM-0044,2,PCS
INV-STRC-FG-0043,INV-PLTE-SFG-1057,1,PCS
INV-STRC-FG-0043,INV-BEAM-SFG-0629,3,PCS
INV-STRC-FG-0043,INV-MODL-SFG-1379,3,PCS
INV-STRC-FG-0043,INV-RM-RM-0049,3,PCS
INV-STRC-FG-0043,INV-RM-RM-0008,2,PCS
INV-STRC-FG-0043,INV-RM-RM-0018,4,PCS
INV-STRC-FG-0044,INV-MODL-SFG-1209,4,PCS
INV-STRC-FG-0044,INV-STRC-SFG-0069,4,PCS
INV-STRC-FG-0044,INV-STRC-SFG-0235,1,PCS
INV-STRC-FG-0044,INV-STRC-SFG-0334,1,PCS
INV-STRC-FG-0044,INV-RM-RM-0106,4,PCS
INV-STRC-FG-0044,INV-RM-RM-0023,1,PCS
INV-STRC-FG-0044,INV-RM-RM-0101,1,PCS
INV-STRC-FG-0045,INV-MODL-SFG-1466,2,PCS
INV-STRC-FG-0045,INV-MODL-SFG-1471,1,PCS
INV-STRC-FG-0045,INV-MODL-SFG-1391,1,PCS
INV-STRC-FG-0045,INV-PLTE-SFG-1105,4,PCS
INV-STRC-FG-0045,INV-STRC-SFG-0375,2,PCS
INV-STRC-FG-0045,INV-RM-RM-0068,2,PCS
INV-STRC-FG-0045,INV-RM-RM-0106,2,PCS
INV-STRC-FG-0045,INV-RM-RM-0035,3,PCS
INV-STRC-FG-0046,INV-STRC-SFG-0089,1,PCS
INV-STRC-FG-0046,INV-PLTE-SFG-1125,2,PCS
INV-STRC-FG-0046,INV-STRC-SFG-0057,1,PCS
INV-STRC-FG-0046,INV-BEAM-SFG-0671,1,PCS
INV-STRC-FG-0046,INV-STRC-SFG-0179,4,PCS
INV-STRC-FG-0046,INV-PLTE-SFG-1109,1,PCS
INV-STRC-FG-0046,INV-RM-RM-0114,3,PCS
INV-STRC-FG-0046,INV-RM-RM-0037,4,PCS
INV-STRC-FG-0047,INV-STRC-SFG-0336,1,PCS
INV-STRC-FG-0047,INV-BEAM-SFG-0461,3,PCS
INV-STRC-FG-0047,INV-MODL-SFG-1459,4,PCS
INV-STRC-FG-0047,INV-RM-RM-0053,2,PCS
INV-STRC-FG-0047,INV-RM-RM-0002,4,PCS
INV-STRC-FG-0048,INV-STRC-SFG-0400,3,PCS
INV-STRC-FG-0048,INV-STRC-SFG-0237,2,PCS
INV-STRC-FG-0048,INV-STRC-SFG-0147,3,PCS
INV-STRC-FG-0048,INV-PLTE-SFG-1171,4,PCS
INV-STRC-FG-0048,INV-MODL-SFG-1406,4,PCS
INV-STRC-FG-0048,INV-RM-RM-0035,2,PCS
INV-STRC-FG-0048,INV-RM-RM-0123,4,PCS
INV-STRC-FG-0049,INV-PLTE-SFG-1117,1,PCS
INV-STRC-FG-0049,INV-BEAM-SFG-0592,4,PCS
INV-STRC-FG-0049,INV-PLTE-SFG-0819,2,PCS
INV-STRC-FG-0049,INV-STRC-SFG-0099,1,PCS
INV-STRC-FG-0049,INV-RM-RM-0113,1,PCS
INV-STRC-FG-0049,INV-RM-RM-0110,2,PCS
INV-STRC-FG-0050,INV-STRC-SFG-0135,3,PCS
INV-STRC-FG-0050,INV-BEAM-SFG-0692,2,PCS
INV-STRC-FG-0050,INV-STRC-SFG-0054,3,PCS
INV-STRC-FG-0050,INV-MODL-SFG-1302,4,PCS
INV-STRC-FG-0050,INV-PLTE-SFG-1134,3,PCS
INV-STRC-FG-0050,INV-MODL-SFG-1399,3,PCS
INV-STRC-FG-0050,INV-RM-RM-0028,1,PCS
INV-STRC-FG-0050,INV-RM-RM-0058,2,PCS
INV-STRC-FG-0050,INV-RM-RM-0080,3,PCS
INV-STRC-FG-0051,INV-MODL-SFG-1518,1,PCS
INV-STRC-FG-0051,INV-MODL-SFG-1514,3,PCS
INV-STRC-FG-0051,INV-BEAM-SFG-0760,4,PCS
INV-STRC-FG-0051,INV-MODL-SFG-1485,3,PCS
INV-STRC-FG-0051,INV-BEAM-SFG-0519,4,PCS
INV-STRC-FG-0051,INV-RM-RM-0086,2,PCS
INV-STRC-FG-0051,INV-RM-RM-0042,4,PCS
INV-STRC-FG-0052,INV-MODL-SFG-1382,3,PCS
INV-STRC-FG-0052,INV-STRC-SFG-0109,4,PCS
INV-STRC-FG-0052,INV-MODL-SFG-1424,2,PCS
INV-STRC-FG-0052,INV-STRC-SFG-0207,2,PCS
INV-STRC-FG-0052,INV-MODL-SFG-1287,3,PCS
INV-STRC-FG-0052,INV-STRC-SFG-0337,4,PCS
INV-STRC-FG-0052,INV-RM-RM-0124,4,PCS
INV-STRC-FG-0052,INV-RM-RM-0110,2,PCS
INV-STRC-FG-0052,INV-RM-RM-0067,1,PCS
INV-STRC-FG-0053,INV-MODL-SFG-1363,4,PCS
INV-STRC-FG-0053,INV-STRC-SFG-0125,3,PCS
INV-STRC-FG-0053,INV-PLTE-SFG-1051,2,PCS
INV-STRC-FG-0053,INV-PLTE-SFG-1179,1,PCS
INV-STRC-FG-0053,INV-PLTE-SFG-1122,3,PCS
INV-STRC-FG-0053,INV-BEAM-SFG-0447,4,PCS
INV-STRC-FG-0053,INV-RM-RM-0047,4,PCS
INV-STRC-FG-0053,INV-RM-RM-0105,3,PCS
INV-STRC-FG-0053,INV-RM-RM-0100,3,PCS
INV-STRC-FG-0054,INV-STRC-SFG-0293,2,PCS
INV-STRC-FG-0054,INV-STRC-SFG-0280,4,PCS
INV-STRC-FG-0054,INV-BEAM-SFG-0712,1,PCS
INV-STRC-FG-0054,INV-PLTE-SFG-1135,4,PCS
INV-STRC-FG-0054,INV-BEAM-SFG-0714,2,PCS
INV-STRC-FG-0054,INV-RM-RM-0119,2,PCS
INV-STRC-FG-0054,INV-RM-RM-0036,3,PCS
INV-STRC-FG-0054,INV-RM-RM-0085,1,PCS
INV-STRC-FG-0055,INV-STRC-SFG-0183,3,PCS
INV-STRC-FG-0055,INV-BEAM-SFG-0492,3,PCS
INV-STRC-FG-0055,INV-BEAM-SFG-0727,2,PCS
INV-STRC-FG-0055,INV-BEAM-SFG-0733,4,PCS
INV-STRC-FG-0055,INV-RM-RM-0093,2,PCS
INV-STRC-FG-0055,INV-RM-RM-0103,4,PCS
INV-STRC-FG-0056,INV-MODL-SFG-1495,2,PCS
INV-STRC-FG-0056,INV-MODL-SFG-1498,2,PCS
INV-STRC-FG-0056,INV-PLTE-SFG-1080,4,PCS
INV-STRC-FG-0056,INV-MODL-SFG-1254,4,PCS
INV-STRC-FG-0056,INV-MODL-SFG-1340,3,PCS
INV-STRC-FG-0056,INV-RM-RM-0013,1,PCS
INV-STRC-FG-0056,INV-RM-RM-0022,4,PCS
INV-STRC-FG-0057,INV-STRC-SFG-0290,4,PCS
INV-STRC-FG-0057,INV-PLTE-SFG-1062,1,PCS
INV-STRC-FG-0057,INV-MODL-SFG-1476,4,PCS
INV-STRC-FG-0057,INV-RM-RM-0024,2,PCS
INV-STRC-FG-0057,INV-RM-RM-0056,3,PCS
INV-STRC-FG-0057,INV-RM-RM-0082,1,PCS
INV-STRC-FG-0057,INV-RM-RM-0104,4,PCS
INV-STRC-FG-0058,INV-BEAM-SFG-0771,1,PCS
INV-STRC-FG-0058,INV-STRC-SFG-0395,2,PCS
INV-STRC-FG-0058,INV-MODL-SFG-1464,1,PCS
INV-STRC-FG-0058,INV-PLTE-SFG-1028,3,PCS
