Item ID,Item Description,Unit of Measure,Group,Item Type,Model
INV-STRC-SFG-0032,Processed Component 32,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0033,Intermediate Frame 33,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0034,Fabricated Section 34,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-FG-0008,Structural Bracket 8,PCS,Structures,FG,MDL-STRC-09
INV-STRC-SFG-0035,Fabricated Section 35,PCS,Structures,SFG,MDL-STRC-09
INV-STRC-SFG-0036,Partially Welded Plate 36,PCS,Structures,SFG,MDL-STRC-09
INV-STRC-SFG-0037,Intermediate Frame 37,PCS,Structures,SFG,MDL-STRC-09
INV-STRC-FG-0009,Metal Beam 9,PCS,Structures,FG,MDL-STRC-03
INV-STRC-SFG-0038,Processed Component 38,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0039,Partially Welded Plate 39,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0040,Processed Component 40,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0041,Intermediate Frame 41,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0042,Fabricated Section 42,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-FG-0010,Construction Module 10,PCS,Structures,FG,MDL-STRC-12
INV-STRC-SFG-0043,Processed Component 43,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0044,Intermediate Frame 44,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0045,Intermediate Frame 45,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-FG-0011,Construction Module 11,PCS,Structures,FG,MDL-STRC-12
INV-STRC-SFG-0046,Fabricated Section 46,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0047,Partially Welded Plate 47,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0048,Processed Component 48,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0049,Partially Welded Plate 49,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-FG-0012,Metal Beam 12,PCS,Structures,FG,MDL-STRC-12
INV-STRC-SFG-0050,Intermediate Frame 50,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0051,Fabricated Section 51,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0052,Fabricated Section 52,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-FG-0013,Construction Module 13,PCS,Structures,FG,MDL-STRC-12
INV-STRC-SFG-0053,Fabricated Section 53,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0054,Intermediate Frame 54,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0055,Processed Component 55,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0056,Intermediate Frame 56,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0057,Processed Component 57,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-FG-0014,Construction Module 14,PCS,Structures,FG,MDL-STRC-01
INV-STRC-SFG-0058,Processed Component 58,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0059,Fabricated Section 59,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0060,Processed Component 60,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0061,Intermediate Frame 61,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-FG-0015,Metal Beam 15,PCS,Structures,FG,MDL-STRC-02
INV-STRC-SFG-0062,Intermediate Frame 62,PCS,Structures,SFG,MDL-STRC-02
INV-STRC-SFG-0063,Fabricated Section 63,PCS,Structures,SFG,MDL-STRC-02
INV-STRC-SFG-0064,Fabricated Section 64,PCS,Structures,SFG,MDL-STRC-02
INV-STRC-SFG-0065,Partially Welded Plate 65,PCS,Structures,SFG,MDL-STRC-02
INV-STRC-SFG-0066,Fabricated Section 66,PCS,Structures,SFG,MDL-STRC-02
INV-STRC-SFG-0067,Intermediate Frame 67,PCS,Structures,SFG,MDL-STRC-02
INV-STRC-FG-0016,Structural Bracket 16,PCS,Structures,FG,MDL-STRC-13
INV-STRC-SFG-0068,Fabricated Section 68,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0069,Fabricated Section 69,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0070,Processed Component 70,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0071,Partially Welded Plate 71,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0072,Fabricated Section 72,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0073,Partially Welded Plate 73,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-FG-0017,Steel Plate 17,PCS,Structures,FG,MDL-STRC-05
INV-STRC-SFG-0074,Intermediate Frame 74,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0075,Processed Component 75,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0076,Processed Component 76,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0077,Processed Component 77,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-FG-0018,Steel Frame 18,PCS,Structures,FG,MDL-STRC-03
INV-STRC-SFG-0078,Partially Welded Plate 78,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0079,Processed Component 79,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0080,Partially Welded Plate 80,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-FG-0019,Structural Bracket 19,PCS,Structures,FG,MDL-STRC-05
INV-STRC-SFG-0081,Intermediate Frame 81,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0082,Fabricated Section 82,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0083,Intermediate Frame 83,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0084,Processed Component 84,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0085,Intermediate Frame 85,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0086,Intermediate Frame 86,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-FG-0020,Metal Beam 20,PCS,Structures,FG,MDL-STRC-12
INV-STRC-SFG-0087,Processed Component 87,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0088,Processed Component 88,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0089,Processed Component 89,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0090,Fabricated Section 90,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0091,Partially Welded Plate 91,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0092,Processed Component 92,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-FG-0021,Steel Frame 21,PCS,Structures,FG,MDL-STRC-07
INV-STRC-SFG-0093,Processed Component 93,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-SFG-0094,Processed Component 94,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-SFG-0095,Fabricated Section 95,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-SFG-0096,Processed Component 96,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-SFG-0097,Intermediate Frame 97,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-SFG-0098,Partially Welded Plate 98,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-FG-0022,Steel Plate 22,PCS,Structures,FG,MDL-STRC-12
INV-STRC-SFG-0099,Fabricated Section 99,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0100,Fabricated Section 100,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0101,Processed Component 101,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-FG-0023,Steel Frame 23,PCS,Structures,FG,MDL-STRC-09
INV-STRC-SFG-0102,Processed Component 102,PCS,Structures,SFG,MDL-STRC-09
INV-STRC-SFG-0103,Fabricated Section 103,PCS,Structures,SFG,MDL-STRC-09
INV-STRC-SFG-0104,Processed Component 104,PCS,Structures,SFG,MDL-STRC-09
INV-STRC-SFG-0105,Fabricated Section 105,PCS,Structures,SFG,MDL-STRC-09
INV-STRC-FG-0024,Structural Bracket 24,PCS,Structures,FG,MDL-STRC-07
INV-STRC-SFG-0106,Processed Component 106,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-SFG-0107,Fabricated Section 107,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-SFG-0108,Intermediate Frame 108,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-FG-0025,Steel Plate 25,PCS,Structures,FG,MDL-STRC-05
INV-STRC-SFG-0109,Intermediate Frame 109,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0110,Processed Component 110,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0111,Partially Welded Plate 111,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-FG-0026,Construction Module 26,PCS,Structures,FG,MDL-STRC-08
INV-STRC-SFG-0112,Partially Welded Plate 112,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0113,Partially Welded Plate 113,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0114,Fabricated Section 114,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0115,Fabricated Section 115,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-FG-0027,Steel Frame 27,PCS,Structures,FG,MDL-STRC-10
INV-STRC-SFG-0116,Partially Welded Plate 116,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0117,Partially Welded Plate 117,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0118,Processed Component 118,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0119,Partially Welded Plate 119,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0120,Processed Component 120,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-FG-0028,Metal Beam 28,PCS,Structures,FG,MDL-STRC-13
INV-STRC-SFG-0121,Fabricated Section 121,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0122,Partially Welded Plate 122,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0123,Partially Welded Plate 123,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0124,Processed Component 124,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-FG-0029,Metal Beam 29,PCS,Structures,FG,MDL-STRC-04
INV-STRC-SFG-0125,Partially Welded Plate 125,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0126,Intermediate Frame 126,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0127,Partially Welded Plate 127,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0128,Partially Welded Plate 128,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0129,Fabricated Section 129,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0130,Processed Component 130,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-FG-0030,Steel Plate 30,PCS,Structures,FG,MDL-STRC-02
INV-STRC-SFG-0131,Intermediate Frame 131,PCS,Structures,SFG,MDL-STRC-02
INV-STRC-SFG-0132,Fabricated Section 132,PCS,Structures,SFG,MDL-STRC-02
INV-STRC-SFG-0133,Processed Component 133,PCS,Structures,SFG,MDL-STRC-02
INV-STRC-FG-0031,Metal Beam 31,PCS,Structures,FG,MDL-STRC-01
INV-STRC-SFG-0134,Partially Welded Plate 134,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0135,Intermediate Frame 135,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0136,Intermediate Frame 136,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0137,Fabricated Section 137,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-FG-0032,Steel Plate 32,PCS,Structures,FG,MDL-STRC-04
INV-STRC-SFG-0138,Intermediate Frame 138,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0139,Intermediate Frame 139,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0140,Processed Component 140,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0141,Processed Component 141,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0142,Partially Welded Plate 142,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0143,Processed Component 143,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-FG-0033,Construction Module 33,PCS,Structures,FG,MDL-STRC-06
INV-STRC-SFG-0144,Fabricated Section 144,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0145,Intermediate Frame 145,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0146,Processed Component 146,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0147,Intermediate Frame 147,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-FG-0034,Steel Frame 34,PCS,Structures,FG,MDL-STRC-12
INV-STRC-SFG-0148,Fabricated Section 148,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0149,Processed Component 149,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0150,Fabricated Section 150,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0151,Processed Component 151,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-FG-0035,Structural Bracket 35,PCS,Structures,FG,MDL-STRC-05
INV-STRC-SFG-0152,Fabricated Section 152,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0153,Fabricated Section 153,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0154,Partially Welded Plate 154,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-FG-0036,Construction Module 36,PCS,Structures,FG,MDL-STRC-11
INV-STRC-SFG-0155,Partially Welded Plate 155,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0156,Processed Component 156,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0157,Fabricated Section 157,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0158,Intermediate Frame 158,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0159,Partially Welded Plate 159,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0160,Fabricated Section 160,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-FG-0037,Construction Module 37,PCS,Structures,FG,MDL-STRC-11
INV-STRC-SFG-0161,Processed Component 161,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0162,Fabricated Section 162,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0163,Intermediate Frame 163,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0164,Fabricated Section 164,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0165,Fabricated Section 165,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-FG-0038,Construction Module 38,PCS,Structures,FG,MDL-STRC-06
INV-STRC-SFG-0166,Partially Welded Plate 166,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0167,Processed Component 167,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0168,Intermediate Frame 168,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0169,Processed Component 169,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0170,Fabricated Section 170,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0171,Processed Component 171,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-FG-0039,Construction Module 39,PCS,Structures,FG,MDL-STRC-08
INV-STRC-SFG-0172,Processed Component 172,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0173,Partially Welded Plate 173,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0174,Fabricated Section 174,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0175,Partially Welded Plate 175,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0176,Fabricated Section 176,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-FG-0040,Construction Module 40,PCS,Structures,FG,MDL-STRC-08
INV-STRC-SFG-0177,Intermediate Frame 177,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0178,Fabricated Section 178,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0179,Fabricated Section 179,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0180,Intermediate Frame 180,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0181,Processed Component 181,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0182,Processed Component 182,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-FG-0041,Steel Frame 41,PCS,Structures,FG,MDL-STRC-13
INV-STRC-SFG-0183,Fabricated Section 183,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0184,Intermediate Frame 184,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0185,Fabricated Section 185,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-FG-0042,Structural Bracket 42,PCS,Structures,FG,MDL-STRC-13
INV-STRC-SFG-0186,Partially Welded Plate 186,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0187,Partially Welded Plate 187,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0188,Intermediate Frame 188,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-FG-0043,Construction Module 43,PCS,Structures,FG,MDL-STRC-07
INV-STRC-SFG-0189,Fabricated Section 189,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-SFG-0190,Processed Component 190,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-SFG-0191,Processed Component 191,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-FG-0044,Structural Bracket 44,PCS,Structures,FG,MDL-STRC-10
INV-STRC-SFG-0192,Partially Welded Plate 192,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0193,Intermediate Frame 193,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0194,Processed Component 194,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0195,Processed Component 195,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0196,Processed Component 196,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0197,Intermediate Frame 197,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-FG-0045,Steel Frame 45,PCS,Structures,FG,MDL-STRC-06
INV-STRC-SFG-0198,Intermediate Frame 198,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0199,Processed Component 199,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0200,Intermediate Frame 200,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0201,Intermediate Frame 201,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0202,Fabricated Section 202,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-SFG-0203,Fabricated Section 203,PCS,Structures,SFG,MDL-STRC-06
INV-STRC-FG-0046,Steel Frame 46,PCS,Structures,FG,MDL-STRC-05
INV-STRC-SFG-0204,Fabricated Section 204,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0205,Processed Component 205,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0206,Processed Component 206,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0207,Processed Component 207,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0208,Intermediate Frame 208,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-FG-0047,Steel Plate 47,PCS,Structures,FG,MDL-STRC-13
INV-STRC-SFG-0209,Partially Welded Plate 209,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0210,Partially Welded Plate 210,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0211,Partially Welded Plate 211,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-FG-0048,Metal Beam 48,PCS,Structures,FG,MDL-STRC-04
INV-STRC-SFG-0212,Processed Component 212,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0213,Fabricated Section 213,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0214,Fabricated Section 214,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-SFG-0215,Partially Welded Plate 215,PCS,Structures,SFG,MDL-STRC-04
INV-STRC-FG-0049,Structural Bracket 49,PCS,Structures,FG,MDL-STRC-10
INV-STRC-SFG-0216,Fabricated Section 216,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0217,Processed Component 217,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0218,Partially Welded Plate 218,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-FG-0050,Steel Frame 50,PCS,Structures,FG,MDL-STRC-10
INV-STRC-SFG-0219,Processed Component 219,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0220,Fabricated Section 220,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0221,Fabricated Section 221,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0222,Intermediate Frame 222,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0223,Fabricated Section 223,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-SFG-0224,Intermediate Frame 224,PCS,Structures,SFG,MDL-STRC-10
INV-STRC-FG-0051,Steel Frame 51,PCS,Structures,FG,MDL-STRC-12
INV-STRC-SFG-0225,Partially Welded Plate 225,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0226,Intermediate Frame 226,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0227,Partially Welded Plate 227,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0228,Intermediate Frame 228,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0229,Processed Component 229,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-FG-0052,Structural Bracket 52,PCS,Structures,FG,MDL-STRC-08
INV-STRC-SFG-0230,Partially Welded Plate 230,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0231,Partially Welded Plate 231,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0232,Processed Component 232,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-SFG-0233,Intermediate Frame 233,PCS,Structures,SFG,MDL-STRC-08
INV-STRC-FG-0053,Metal Beam 53,PCS,Structures,FG,MDL-STRC-13
INV-STRC-SFG-0234,Intermediate Frame 234,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0235,Fabricated Section 235,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0236,Fabricated Section 236,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0237,Fabricated Section 237,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0238,Intermediate Frame 238,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-SFG-0239,Partially Welded Plate 239,PCS,Structures,SFG,MDL-STRC-13
INV-STRC-FG-0054,Construction Module 54,PCS,Structures,FG,MDL-STRC-11
INV-STRC-SFG-0240,Intermediate Frame 240,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0241,Fabricated Section 241,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0242,Partially Welded Plate 242,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0243,Intermediate Frame 243,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0244,Partially Welded Plate 244,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-FG-0055,Steel Plate 55,PCS,Structures,FG,MDL-STRC-07
INV-STRC-SFG-0245,Partially Welded Plate 245,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-SFG-0246,Intermediate Frame 246,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-SFG-0247,Partially Welded Plate 247,PCS,Structures,SFG,MDL-STRC-07
INV-STRC-FG-0056,Structural Bracket 56,PCS,Structures,FG,MDL-STRC-01
INV-STRC-SFG-0248,Partially Welded Plate 248,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0249,Fabricated Section 249,PCS,Structures,SFG,MDL-STRC-01
