Item ID,Operation Number,Operation Name,Workcenter ID,Setup Time (min),Run Time (min),Next Operation,Previous Operation
INV-STRC-SFG-0012,3,Machining 1,WC-009,49,82,,2.0
INV-STRC-SFG-0013,1,Assembly 1,WC-014,14,141,2.0,
INV-STRC-SFG-0013,2,Welding 1,WC-002,21,292,3.0,1.0
INV-STRC-SFG-0013,3,Machining 1,WC-010,37,94,,2.0
INV-STRC-SFG-0014,1,Assembly 1,WC-015,23,177,2.0,
INV-STRC-SFG-0014,2,Welding 1,WC-001,22,254,3.0,1.0
INV-STRC-SFG-0014,3,Assembly 2,WC-014,19,254,4.0,2.0
INV-STRC-SFG-0014,4,Welding 2,WC-004,13,142,,3.0
INV-STRC-FG-0004,1,Assembly 1,WC-015,20,164,2.0,
INV-STRC-FG-0004,2,Welding 1,WC-003,12,292,3.0,1.0
INV-STRC-FG-0004,3,Assembly 2,WC-014,24,248,4.0,2.0
INV-STRC-FG-0004,4,Welding 2,WC-001,21,280,5.0,3.0
INV-STRC-FG-0004,5,Assembly 3,WC-015,24,278,6.0,4.0
INV-STRC-FG-0004,6,Welding 3,WC-005,12,141,7.0,5.0
INV-STRC-FG-0004,7,Assembly 4,WC-013,12,262,8.0,6.0
INV-STRC-FG-0004,8,Welding 4,WC-005,27,213,9.0,7.0
INV-STRC-FG-0004,9,Painting 1,WC-019,15,149,10.0,8.0
INV-STRC-FG-0004,10,Packaging 1,WC-030,0,30,,9.0
INV-STRC-SFG-0015,1,Assembly 1,WC-015,17,319,2.0,
INV-STRC-SFG-0015,2,Welding 1,WC-006,15,199,3.0,1.0
INV-STRC-SFG-0015,3,Machining 1,WC-011,31,66,,2.0
INV-STRC-SFG-0016,1,Assembly 1,WC-016,22,222,2.0,
INV-STRC-SFG-0016,2,Welding 1,WC-004,29,173,3.0,1.0
INV-STRC-SFG-0016,3,Assembly 2,WC-016,22,133,4.0,2.0
INV-STRC-SFG-0016,4,Welding 2,WC-001,12,175,5.0,3.0
INV-STRC-SFG-0016,5,Machining 1,WC-012,37,75,,4.0
INV-STRC-SFG-0017,1,Assembly 1,WC-014,20,143,2.0,
INV-STRC-SFG-0017,2,Welding 1,WC-002,28,218,3.0,1.0
INV-STRC-SFG-0017,3,Machining 1,WC-010,67,77,,2.0
INV-STRC-SFG-0018,1,Assembly 1,WC-016,25,255,2.0,
INV-STRC-SFG-0018,2,Welding 1,WC-004,30,307,3.0,1.0
INV-STRC-SFG-0018,3,Assembly 2,WC-015,13,276,4.0,2.0
INV-STRC-SFG-0018,4,Welding 2,WC-006,24,244,5.0,3.0
INV-STRC-SFG-0018,5,Machining 1,WC-011,59,115,,4.0
INV-STRC-SFG-0019,1,Assembly 1,WC-014,18,198,2.0,
INV-STRC-SFG-0019,2,Welding 1,WC-005,19,316,3.0,1.0
INV-STRC-SFG-0019,3,Machining 1,WC-008,51,65,,2.0
INV-STRC-SFG-0020,1,Assembly 1,WC-014,25,335,2.0,
INV-STRC-SFG-0020,2,Welding 1,WC-002,27,281,3.0,1.0
INV-STRC-SFG-0020,3,Machining 1,WC-007,43,115,,2.0
INV-STRC-FG-0005,1,Assembly 1,WC-016,22,132,2.0,
INV-STRC-FG-0005,2,Welding 1,WC-002,10,192,3.0,1.0
INV-STRC-FG-0005,3,Assembly 2,WC-014,27,253,4.0,2.0
INV-STRC-FG-0005,4,Welding 2,WC-005,19,238,5.0,3.0
INV-STRC-FG-0005,5,Assembly 3,WC-015,15,181,6.0,4.0
INV-STRC-FG-0005,6,Welding 3,WC-003,15,130,7.0,5.0
INV-STRC-FG-0005,7,Painting 1,WC-017,26,117,8.0,6.0
INV-STRC-FG-0005,8,Packaging 1,WC-028,0,30,,7.0
INV-STRC-SFG-0021,1,Assembly 1,WC-014,15,338,2.0,
INV-STRC-SFG-0021,2,Welding 1,WC-006,21,298,,1.0
INV-STRC-SFG-0022,1,Assembly 1,WC-015,24,355,2.0,
INV-STRC-SFG-0022,2,Welding 1,WC-006,12,125,,1.0
INV-STRC-SFG-0023,1,Assembly 1,WC-015,29,321,2.0,
INV-STRC-SFG-0023,2,Welding 1,WC-003,10,209,,1.0
INV-STRC-SFG-0024,1,Assembly 1,WC-016,30,335,2.0,
INV-STRC-SFG-0024,2,Welding 1,WC-002,27,355,,1.0
INV-STRC-SFG-0025,1,Assembly 1,WC-016,26,245,2.0,
INV-STRC-SFG-0025,2,Welding 1,WC-006,11,152,3.0,1.0
INV-STRC-SFG-0025,3,Assembly 2,WC-016,22,332,4.0,2.0
INV-STRC-SFG-0025,4,Welding 2,WC-002,14,202,5.0,3.0
INV-STRC-SFG-0025,5,Machining 1,WC-010,22,86,,4.0
INV-STRC-FG-0006,1,Assembly 1,WC-015,19,129,2.0,
INV-STRC-FG-0006,2,Welding 1,WC-004,25,272,3.0,1.0
INV-STRC-FG-0006,3,Assembly 2,WC-016,21,155,4.0,2.0
INV-STRC-FG-0006,4,Welding 2,WC-003,21,277,5.0,3.0
INV-STRC-FG-0006,5,Assembly 3,WC-013,10,141,6.0,4.0
INV-STRC-FG-0006,6,Welding 3,WC-002,29,191,7.0,5.0
INV-STRC-FG-0006,7,Machining 1,WC-007,41,214,8.0,6.0
INV-STRC-FG-0006,8,Painting 1,WC-018,30,85,9.0,7.0
INV-STRC-FG-0006,9,Packaging 1,WC-029,0,30,,8.0
INV-STRC-SFG-0026,1,Assembly 1,WC-015,18,307,2.0,
INV-STRC-SFG-0026,2,Welding 1,WC-001,21,204,3.0,1.0
INV-STRC-SFG-0026,3,Assembly 2,WC-014,10,148,4.0,2.0
INV-STRC-SFG-0026,4,Welding 2,WC-004,17,139,5.0,3.0
INV-STRC-SFG-0026,5,Machining 1,WC-011,55,115,,4.0
INV-STRC-SFG-0027,1,Assembly 1,WC-015,22,346,2.0,
INV-STRC-SFG-0027,2,Welding 1,WC-006,10,216,,1.0
INV-STRC-SFG-0028,1,Assembly 1,WC-015,18,188,2.0,
INV-STRC-SFG-0028,2,Welding 1,WC-006,22,164,3.0,1.0
INV-STRC-SFG-0028,3,Machining 1,WC-011,57,68,,2.0
INV-STRC-FG-0007,1,Assembly 1,WC-014,18,166,2.0,
INV-STRC-FG-0007,2,Welding 1,WC-002,22,163,3.0,1.0
INV-STRC-FG-0007,3,Assembly 2,WC-013,12,257,4.0,2.0
INV-STRC-FG-0007,4,Welding 2,WC-003,20,301,5.0,3.0
INV-STRC-FG-0007,5,Assembly 3,WC-015,25,326,6.0,4.0
INV-STRC-FG-0007,6,Welding 3,WC-003,22,197,7.0,5.0
INV-STRC-FG-0007,7,Painting 1,WC-017,15,108,8.0,6.0
INV-STRC-FG-0007,8,Packaging 1,WC-028,0,30,,7.0
INV-STRC-SFG-0029,1,Assembly 1,WC-015,12,300,2.0,
INV-STRC-SFG-0029,2,Welding 1,WC-002,12,154,3.0,1.0
INV-STRC-SFG-0029,3,Assembly 2,WC-016,11,311,4.0,2.0
INV-STRC-SFG-0029,4,Welding 2,WC-002,26,171,5.0,3.0
INV-STRC-SFG-0029,5,Machining 1,WC-011,60,73,,4.0
INV-STRC-SFG-0030,1,Assembly 1,WC-015,15,195,2.0,
INV-STRC-SFG-0030,2,Welding 1,WC-001,11,278,3.0,1.0
INV-STRC-SFG-0030,3,Assembly 2,WC-014,21,266,4.0,2.0
INV-STRC-SFG-0030,4,Welding 2,WC-003,25,238,5.0,3.0
INV-STRC-SFG-0030,5,Machining 1,WC-011,26,89,,4.0
INV-STRC-SFG-0031,1,Assembly 1,WC-014,27,301,2.0,
INV-STRC-SFG-0031,2,Welding 1,WC-005,21,353,,1.0
INV-STRC-SFG-0032,1,Assembly 1,WC-016,12,329,2.0,
INV-STRC-SFG-0032,2,Welding 1,WC-006,23,137,,1.0
INV-STRC-SFG-0033,1,Assembly 1,WC-013,17,288,2.0,
INV-STRC-SFG-0033,2,Welding 1,WC-003,26,327,,1.0
INV-STRC-SFG-0034,1,Assembly 1,WC-014,21,215,2.0,
INV-STRC-SFG-0034,2,Welding 1,WC-006,20,181,3.0,1.0
INV-STRC-SFG-0034,3,Assembly 2,WC-013,28,184,4.0,2.0
INV-STRC-SFG-0034,4,Welding 2,WC-002,25,144,,3.0
INV-STRC-FG-0008,1,Assembly 1,WC-015,22,181,2.0,
INV-STRC-FG-0008,2,Welding 1,WC-005,17,260,3.0,1.0
INV-STRC-FG-0008,3,Assembly 2,WC-013,16,243,4.0,2.0
INV-STRC-FG-0008,4,Welding 2,WC-001,12,239,5.0,3.0
INV-STRC-FG-0008,5,Assembly 3,WC-013,15,342,6.0,4.0
INV-STRC-FG-0008,6,Welding 3,WC-004,19,122,7.0,5.0
INV-STRC-FG-0008,7,Assembly 4,WC-013,29,179,8.0,6.0
INV-STRC-FG-0008,8,Welding 4,WC-001,17,141,9.0,7.0
INV-STRC-FG-0008,9,Machining 1,WC-012,30,189,10.0,8.0
INV-STRC-FG-0008,10,Painting 1,WC-018,18,142,11.0,9.0
INV-STRC-FG-0008,11,Packaging 1,WC-032,0,30,,10.0
INV-STRC-SFG-0035,1,Assembly 1,WC-013,24,299,2.0,
INV-STRC-SFG-0035,2,Welding 1,WC-006,18,267,3.0,1.0
INV-STRC-SFG-0035,3,Assembly 2,WC-013,30,124,4.0,2.0
INV-STRC-SFG-0035,4,Welding 2,WC-003,10,350,5.0,3.0
INV-STRC-SFG-0035,5,Machining 1,WC-012,33,68,,4.0
INV-STRC-SFG-0036,1,Assembly 1,WC-015,15,194,2.0,
INV-STRC-SFG-0036,2,Welding 1,WC-004,24,280,3.0,1.0
INV-STRC-SFG-0036,3,Machining 1,WC-009,26,80,,2.0
INV-STRC-SFG-0037,1,Assembly 1,WC-014,16,293,2.0,
INV-STRC-SFG-0037,2,Welding 1,WC-002,13,237,,1.0
INV-STRC-FG-0009,1,Assembly 1,WC-016,12,329,2.0,
INV-STRC-FG-0009,2,Welding 1,WC-001,23,301,3.0,1.0
INV-STRC-FG-0009,3,Assembly 2,WC-015,24,303,4.0,2.0
INV-STRC-FG-0009,4,Welding 2,WC-004,14,133,5.0,3.0
INV-STRC-FG-0009,5,Machining 1,WC-008,60,91,6.0,4.0
INV-STRC-FG-0009,6,Painting 1,WC-018,15,90,7.0,5.0
INV-STRC-FG-0009,7,Packaging 1,WC-023,0,30,,6.0
INV-STRC-SFG-0038,1,Assembly 1,WC-015,22,223,2.0,
INV-STRC-SFG-0038,2,Welding 1,WC-006,10,235,3.0,1.0
INV-STRC-SFG-0038,3,Machining 1,WC-010,56,119,,2.0
INV-STRC-SFG-0039,1,Assembly 1,WC-015,25,205,2.0,
INV-STRC-SFG-0039,2,Welding 1,WC-003,29,222,,1.0
INV-STRC-SFG-0040,1,Assembly 1,WC-014,16,329,2.0,
INV-STRC-SFG-0040,2,Welding 1,WC-004,28,171,,1.0
INV-STRC-SFG-0041,1,Assembly 1,WC-014,22,222,2.0,
INV-STRC-SFG-0041,2,Welding 1,WC-006,12,354,3.0,1.0
INV-STRC-SFG-0041,3,Assembly 2,WC-015,14,186,4.0,2.0
INV-STRC-SFG-0041,4,Welding 2,WC-002,26,123,,3.0
INV-STRC-SFG-0042,1,Assembly 1,WC-013,14,130,2.0,
INV-STRC-SFG-0042,2,Welding 1,WC-004,12,354,3.0,1.0
INV-STRC-SFG-0042,3,Machining 1,WC-009,62,90,,2.0
INV-STRC-FG-0010,1,Assembly 1,WC-014,12,146,2.0,
INV-STRC-FG-0010,2,Welding 1,WC-004,18,229,3.0,1.0
INV-STRC-FG-0010,3,Assembly 2,WC-016,14,357,4.0,2.0
INV-STRC-FG-0010,4,Welding 2,WC-003,18,316,5.0,3.0
INV-STRC-FG-0010,5,Assembly 3,WC-016,29,145,6.0,4.0
INV-STRC-FG-0010,6,Welding 3,WC-003,20,204,7.0,5.0
INV-STRC-FG-0010,7,Painting 1,WC-018,15,152,8.0,6.0
INV-STRC-FG-0010,8,Packaging 1,WC-021,0,30,,7.0
INV-STRC-SFG-0043,1,Assembly 1,WC-016,28,239,2.0,
INV-STRC-SFG-0043,2,Welding 1,WC-003,11,141,3.0,1.0
INV-STRC-SFG-0043,3,Machining 1,WC-008,35,60,,2.0
INV-STRC-SFG-0044,1,Assembly 1,WC-015,30,138,2.0,
INV-STRC-SFG-0044,2,Welding 1,WC-002,22,350,3.0,1.0
INV-STRC-SFG-0044,3,Assembly 2,WC-016,14,322,4.0,2.0
INV-STRC-SFG-0044,4,Welding 2,WC-005,24,211,5.0,3.0
INV-STRC-SFG-0044,5,Machining 1,WC-011,33,63,,4.0
INV-STRC-SFG-0045,1,Assembly 1,WC-015,27,224,2.0,
INV-STRC-SFG-0045,2,Welding 1,WC-001,14,350,3.0,1.0
INV-STRC-SFG-0045,3,Assembly 2,WC-013,22,169,4.0,2.0
INV-STRC-SFG-0045,4,Welding 2,WC-001,20,170,,3.0
INV-STRC-FG-0011,1,Assembly 1,WC-016,14,319,2.0,
INV-STRC-FG-0011,2,Welding 1,WC-005,26,310,3.0,1.0
INV-STRC-FG-0011,3,Assembly 2,WC-014,20,128,4.0,2.0
INV-STRC-FG-0011,4,Welding 2,WC-005,21,342,5.0,3.0
INV-STRC-FG-0011,5,Machining 1,WC-011,70,114,6.0,4.0
INV-STRC-FG-0011,6,Painting 1,WC-019,28,77,7.0,5.0
INV-STRC-FG-0011,7,Packaging 1,WC-027,0,30,,6.0
INV-STRC-SFG-0046,1,Assembly 1,WC-013,23,318,2.0,
INV-STRC-SFG-0046,2,Welding 1,WC-004,20,278,3.0,1.0
INV-STRC-SFG-0046,3,Assembly 2,WC-014,18,198,4.0,2.0
INV-STRC-SFG-0046,4,Welding 2,WC-001,12,148,,3.0
INV-STRC-SFG-0047,1,Assembly 1,WC-016,29,255,2.0,
INV-STRC-SFG-0047,2,Welding 1,WC-001,29,176,3.0,1.0
INV-STRC-SFG-0047,3,Assembly 2,WC-016,12,165,4.0,2.0
INV-STRC-SFG-0047,4,Welding 2,WC-001,22,351,,3.0
INV-STRC-SFG-0048,1,Assembly 1,WC-016,10,204,2.0,
INV-STRC-SFG-0048,2,Welding 1,WC-005,28,271,3.0,1.0
INV-STRC-SFG-0048,3,Machining 1,WC-009,72,96,,2.0
INV-STRC-SFG-0049,1,Assembly 1,WC-015,15,228,2.0,
INV-STRC-SFG-0049,2,Welding 1,WC-005,12,348,3.0,1.0
INV-STRC-SFG-0049,3,Machining 1,WC-008,24,104,,2.0
INV-STRC-FG-0012,1,Assembly 1,WC-014,27,336,2.0,
INV-STRC-FG-0012,2,Welding 1,WC-004,28,209,3.0,1.0
INV-STRC-FG-0012,3,Assembly 2,WC-014,19,216,4.0,2.0
INV-STRC-FG-0012,4,Welding 2,WC-004,28,274,5.0,3.0
INV-STRC-FG-0012,5,Machining 1,WC-007,34,149,6.0,4.0
INV-STRC-FG-0012,6,Painting 1,WC-017,25,101,7.0,5.0
INV-STRC-FG-0012,7,Packaging 1,WC-025,0,30,,6.0
INV-STRC-SFG-0050,1,Assembly 1,WC-014,25,129,2.0,
INV-STRC-SFG-0050,2,Welding 1,WC-005,21,248,3.0,1.0
INV-STRC-SFG-0050,3,Assembly 2,WC-016,28,203,4.0,2.0
INV-STRC-SFG-0050,4,Welding 2,WC-001,24,183,,3.0
INV-STRC-SFG-0051,1,Assembly 1,WC-016,12,303,2.0,
INV-STRC-SFG-0051,2,Welding 1,WC-004,28,140,,1.0
INV-STRC-SFG-0052,1,Assembly 1,WC-015,27,192,2.0,
INV-STRC-SFG-0052,2,Welding 1,WC-003,28,130,3.0,1.0
INV-STRC-SFG-0052,3,Assembly 2,WC-013,15,290,4.0,2.0
INV-STRC-SFG-0052,4,Welding 2,WC-003,30,163,,3.0
INV-STRC-FG-0013,1,Assembly 1,WC-016,15,358,2.0,
INV-STRC-FG-0013,2,Welding 1,WC-003,12,189,3.0,1.0
INV-STRC-FG-0013,3,Assembly 2,WC-016,28,138,4.0,2.0
INV-STRC-FG-0013,4,Welding 2,WC-004,30,163,5.0,3.0
INV-STRC-FG-0013,5,Painting 1,WC-018,22,81,6.0,4.0
INV-STRC-FG-0013,6,Packaging 1,WC-029,0,30,,5.0
INV-STRC-SFG-0053,1,Assembly 1,WC-013,27,304,2.0,
INV-STRC-SFG-0053,2,Welding 1,WC-005,23,122,,1.0
INV-STRC-SFG-0054,1,Assembly 1,WC-013,14,192,2.0,
INV-STRC-SFG-0054,2,Welding 1,WC-002,20,145,3.0,1.0
INV-STRC-SFG-0054,3,Assembly 2,WC-014,30,200,4.0,2.0
INV-STRC-SFG-0054,4,Welding 2,WC-004,30,197,5.0,3.0
INV-STRC-SFG-0054,5,Machining 1,WC-012,20,77,,4.0
INV-STRC-SFG-0055,1,Assembly 1,WC-014,17,267,2.0,
INV-STRC-SFG-0055,2,Welding 1,WC-004,13,295,,1.0
INV-STRC-SFG-0056,1,Assembly 1,WC-016,28,210,2.0,
INV-STRC-SFG-0056,2,Welding 1,WC-006,19,153,3.0,1.0
INV-STRC-SFG-0056,3,Machining 1,WC-010,31,116,,2.0
INV-STRC-SFG-0057,1,Assembly 1,WC-013,19,249,2.0,
INV-STRC-SFG-0057,2,Welding 1,WC-003,23,191,,1.0
INV-STRC-FG-0014,1,Assembly 1,WC-016,12,258,2.0,
INV-STRC-FG-0014,2,Welding 1,WC-005,19,294,3.0,1.0
INV-STRC-FG-0014,3,Assembly 2,WC-016,28,140,4.0,2.0
INV-STRC-FG-0014,4,Welding 2,WC-005,13,136,5.0,3.0
INV-STRC-FG-0014,5,Painting 1,WC-017,18,80,6.0,4.0
INV-STRC-FG-0014,6,Packaging 1,WC-020,0,30,,5.0
INV-STRC-SFG-0058,1,Assembly 1,WC-015,18,203,2.0,
INV-STRC-SFG-0058,2,Welding 1,WC-006,10,260,,1.0
INV-STRC-SFG-0059,1,Assembly 1,WC-015,30,329,2.0,
INV-STRC-SFG-0059,2,Welding 1,WC-005,26,160,,1.0
INV-STRC-SFG-0060,1,Assembly 1,WC-014,30,295,2.0,
INV-STRC-SFG-0060,2,Welding 1,WC-001,10,282,3.0,1.0
INV-STRC-SFG-0060,3,Assembly 2,WC-013,20,230,4.0,2.0
INV-STRC-SFG-0060,4,Welding 2,WC-004,18,261,5.0,3.0
INV-STRC-SFG-0060,5,Machining 1,WC-012,22,82,,4.0
INV-STRC-SFG-0061,1,Assembly 1,WC-015,28,323,2.0,
INV-STRC-SFG-0061,2,Welding 1,WC-001,11,224,,1.0
INV-STRC-FG-0015,1,Assembly 1,WC-013,18,254,2.0,
INV-STRC-FG-0015,2,Welding 1,WC-005,11,340,3.0,1.0
INV-STRC-FG-0015,3,Assembly 2,WC-016,13,226,4.0,2.0
INV-STRC-FG-0015,4,Welding 2,WC-003,27,218,5.0,3.0
INV-STRC-FG-0015,5,Assembly 3,WC-013,15,185,6.0,4.0
INV-STRC-FG-0015,6,Welding 3,WC-001,28,259,7.0,5.0
INV-STRC-FG-0015,7,Assembly 4,WC-014,12,294,8.0,6.0
INV-STRC-FG-0015,8,Welding 4,WC-003,21,187,9.0,7.0
INV-STRC-FG-0015,9,Painting 1,WC-018,16,222,10.0,8.0
INV-STRC-FG-0015,10,Packaging 1,WC-027,0,30,,9.0
INV-STRC-SFG-0062,1,Assembly 1,WC-013,17,132,2.0,
INV-STRC-SFG-0062,2,Welding 1,WC-005,12,164,3.0,1.0
INV-STRC-SFG-0062,3,Assembly 2,WC-013,15,171,4.0,2.0
INV-STRC-SFG-0062,4,Welding 2,WC-005,11,316,,3.0
INV-STRC-SFG-0063,1,Assembly 1,WC-014,10,144,2.0,
INV-STRC-SFG-0063,2,Welding 1,WC-006,22,328,3.0,1.0
INV-STRC-SFG-0063,3,Assembly 2,WC-013,13,124,4.0,2.0
INV-STRC-SFG-0063,4,Welding 2,WC-003,14,218,5.0,3.0
INV-STRC-SFG-0063,5,Machining 1,WC-007,44,119,,4.0
INV-STRC-SFG-0064,1,Assembly 1,WC-015,15,132,2.0,
INV-STRC-SFG-0064,2,Welding 1,WC-001,22,343,3.0,1.0
INV-STRC-SFG-0064,3,Assembly 2,WC-015,24,228,4.0,2.0
INV-STRC-SFG-0064,4,Welding 2,WC-001,23,206,5.0,3.0
INV-STRC-SFG-0064,5,Machining 1,WC-011,57,84,,4.0
INV-STRC-SFG-0065,1,Assembly 1,WC-016,17,153,2.0,
INV-STRC-SFG-0065,2,Welding 1,WC-005,30,357,3.0,1.0
INV-STRC-SFG-0065,3,Machining 1,WC-010,75,99,,2.0
INV-STRC-SFG-0066,1,Assembly 1,WC-014,28,203,2.0,
INV-STRC-SFG-0066,2,Welding 1,WC-005,26,184,,1.0
INV-STRC-SFG-0067,1,Assembly 1,WC-015,13,322,2.0,
INV-STRC-SFG-0067,2,Welding 1,WC-001,29,159,3.0,1.0
INV-STRC-SFG-0067,3,Assembly 2,WC-013,18,266,4.0,2.0
INV-STRC-SFG-0067,4,Welding 2,WC-006,28,195,5.0,3.0
INV-STRC-SFG-0067,5,Machining 1,WC-010,56,99,,4.0
INV-STRC-FG-0016,1,Assembly 1,WC-015,17,264,2.0,
INV-STRC-FG-0016,2,Welding 1,WC-004,24,246,3.0,1.0
INV-STRC-FG-0016,3,Assembly 2,WC-015,20,204,4.0,2.0
INV-STRC-FG-0016,4,Welding 2,WC-005,17,292,5.0,3.0
INV-STRC-FG-0016,5,Assembly 3,WC-013,29,312,6.0,4.0
INV-STRC-FG-0016,6,Welding 3,WC-001,13,245,7.0,5.0
INV-STRC-FG-0016,7,Machining 1,WC-008,22,152,8.0,6.0
INV-STRC-FG-0016,8,Painting 1,WC-019,28,136,9.0,7.0
INV-STRC-FG-0016,9,Packaging 1,WC-021,0,30,,8.0
INV-STRC-SFG-0068,1,Assembly 1,WC-016,27,156,2.0,
INV-STRC-SFG-0068,2,Welding 1,WC-002,26,273,3.0,1.0
INV-STRC-SFG-0068,3,Assembly 2,WC-013,23,248,4.0,2.0
INV-STRC-SFG-0068,4,Welding 2,WC-004,25,162,5.0,3.0
INV-STRC-SFG-0068,5,Machining 1,WC-007,42,116,,4.0
INV-STRC-SFG-0069,1,Assembly 1,WC-014,19,339,2.0,
INV-STRC-SFG-0069,2,Welding 1,WC-004,25,336,3.0,1.0
INV-STRC-SFG-0069,3,Assembly 2,WC-015,20,221,4.0,2.0
